[b]CHC[/b]
Jake Irvin, SP WAS, 4 years at 1.09 per year
Dane Dunning, SP/RP TEX, 1 year at 0.41 per year
Clayton Kershaw, SP LAD, 1 year at 0.89 per year

[b]COL[/b]
Matt Vierling, OF DET, 1 year at 2.00 per year
Jonah Bride, 1B MIA, 1 year at 2.50 per year

[b]CLE[/b]
Josh Bell, 1B WAS, 1 year at 0.71 per year

[b]LAD[/b]
Kutter Crawford, SP BOS, 5 years at 2.20 per year
Jose Tena, 3B WAS, 5 years at 0.40 per year
Chase Silseth, SP LAA, 5 years at 2.00 per year
Landen Roupp, RP SF, 5 years at 0.44 per year
Shinnosuke Ogasawara, SP WAS, 5 years at 0.40 per year
Albert Suarez, SP BAL, 2 years at 0.40 per year

[b]NYY[/b]
Patrick Bailey, C SF, 1 year at 0.85 per year
Danny Jansen, C TB, 1 year at 0.74 per year

[b]ARZ[/b]
Paul Goldschmidt, 1B NYY, 1 year at 7.00 per year
Nolan Arenado, 3B STL, 1 year at 8.40 per year
Tyler Glasnow, SP LAD, 1 year at 10.10 per year
Jon Gray, SP TEX, 1 year at 2.00 per year

[b]SD[/b]
Jose Siri, OF NYM, 2 years at 0.55 per year
Tyler Rogers, RP SF, 1 year at 0.45 per year
Osvaldo Bido, SP SAC, 3 years at 0.50 per year
Caleb Ferguson RP PIT, 1 year at 0.50 per year

[b]TB[/b]
Walker Buehler, SP BOS, 2 years at 4.75 per year
Luke Weaver, RP NYY, 2 years at 1.18 per year
Evan Phillips, RP LAD, 2 years at 0.96 per year
Eloy Jimenez, DH TB, 1 year at 0.43 per year
Jorge Polanco, 2B SEA, 1 year at 0.41 per year
Jose Quijada, RP LAA, 1 year at 0.40 per year
Julian Merryweather, RP CHC, 1 year at 0.40 per year

[b]PIT[/b]
Otto Lopez, 2B MIA, 1 year at 0.61 per year
Esteury Ruiz, OF SAC, 4 years at 0.45 per year
Mike Yastrzemski, OF SF, 1 year at 0.76 per year
Jesse Winker, OF NYM, 1 year at 0.61 per year

