[b]NYM[/b]
DJ LeMahieu, IF NYY, 2 years at 4.20 per year (5.00, 3.40)

[b]CLE[/b]
Darin Ruf, 1B SF, 1 year at 0.41 per year
Yoshi Tsutsugo, 2 years at 0.40 per year

[b]LAD[/b]
Josh Fleming, RP TB, 5 years at 0.40 per year

[b]SD[/b]
Kyle Farmer, SS CIN, 1 year at 0.47 per year
Drew Smith, RP NYM, 1 year at 0.40 per year
Will Crowe, SP PIT, 1 year at 0.40 per year

[b]SEA[/b]
James McCann, C DET, 2 years at 0.41 per year
Robert Suarez, RP SD, 2 years at 1.01 per year

[b]TB[/b]
Michael King, RP NYY, 1 year at 0.50 per year
Ryan Helsley, RP STL, 1 year at 0.40 per year
Tanner Scott, RP MIA, 1 year at 0.40 per year
Austin Slater, OF SF, 1 year at 0.80 per year

[b]KC[/b]
Collin McHugh, RP ATL, 1 year at 0.62 per year
Hunter Strickland, RP CIN, 1 year at 0.42 per year

