[b]BOS[/b]
Kyle Hart, SP SD, 0.70
Elian Pena, SS NYM, 0.85
Dorian Soto, SS BOS, 1.10
Kevin Alvarez, OF HOU, 1.10

[b]CHC[/b]
Sam Bachman, P LAA, 0.60
Trevor MdConald, P SF, 0.20
Maui Ahuna, SS SF, 0.10
Josh Randall, SP DET, 0.20
Enrique Jimenez, C DET, 0.20
Max Anderson, 3B DET, 0.10
Juan Valera, SP BOS, 0.20
Hunter Dobbins, SP BOS, 0.20
Gordon Graceffo, SP STL, 0.10

[b]LAD[/b]
Josuar Gonzalez, SS SF, 1.20
Brailyn Antunez, OF MIL, 0.10
Rainiel Rodriguez, C STL, 0.10

[b]ATL[/b]
Marc Church, RP TEX, 0.15

[b]SEA[/b]
Chase Hampton, SP NYY, 0.10
Chase Davis, OF STL, 0.10
Ben Kudrna, SP KC, 0.10
Zander Mueth, SP PIT, 0.10
Edgardo Henriquez, RP LAD, 0.10

[b]TOR[/b]
Chen Zhong-Ao Zhuang, SP SAC/ATH, 0.15

[b]ARZ[/b]
Cameron Sullivan, P CLE, 0.10
Jakob Wright, P LAD, 0.10

[b]PIT[/b]
Yorger Bautista, SS SEA, 0.75

[b]PHI[/b]
Maykel Coret, OF TB, 0.30

