Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order
DET,"Starlin Castro, 2B WAS",2,3,2.8,3.2,,,,1
DET,"Robinson Cano, 2B NYM",1,2.8,,,,,,1
DET,"Yoenis Cespedes, OF NYM",2,2.5,2.4,2.6,,,,1
DET,"Jean Segura, SS PHI",1,2,,,,,,1
DET,"Wilson Ramos, C NYM",1,0.75,,,,,,1
DET,"Kurt Suzuki, C WAS",1,0.8,,,,,,1
DET,"Travis d'Arnaud, C ATL",1,0.4,,,,,,1
DET,"Brandon Kintzler, RP MIA",3,2.4,2.2,2.6,2.4,,,1
DET,"Will Harris, RP WAS",1,0.5,,,,,,1
ARZ,"Max Scherzer, SP WAS",1,10,,,,,,2
ARZ,"Patrick Corbin, SP WAS",1,6,,,,,,2
ARZ,"Marcus Stroman, SP NYM",1,2.6,,,,,,2
ARZ,"Cole Hamels, SP ATL",1,2.6,,,,,,2
ARZ,"Rick Porcello, SP NYM",1,1.5,,,,,,2
ARZ,"Dellin Betances, RP NYM",1,1.8,,,,,,2
ARZ,"Jake Arrieta, SP PHI",1,1.3,,,,,,2
ARZ,"Will Harris, RP WAS",1,0.7,,,,,,2
ARZ,"Shane Greene, RP ATL",1,0.7,,,,,,2
ARZ,"Brandon Kintzler, RP MIA",1,3,,,,,,2
ARZ,"Jonathan Villar, 2B MIA",1,13.5,,,,,,2
ARZ,"Andrew McCutchen, OF PHI",1,3,,,,,,2
ARZ,"Yoenis Cespedes, OF NYM",1,0.6,,,,,,2
TB,"Andrew McCutchen, OF PHI",2,3,2.5,3.5,,,,3
TB,"Jean Segura, SS PHI",2,2,1.75,2.25,,,,3
TB,"Howie Kendrick, 1B WAS",1,0.76,,,,,,3
TB,"Garrett Cooper, 1B MIA",4,0.5,,,,,,3
TB,"Rick Porcello, SP NYM",1,0.65,,,,,,3
TB,"Cole Hamels, SP ATL",1,0.95,,,,,,3
TB,"Jake Arrieta, SP PHI",1,0.5,,,,,,3
LAD,"Max Scherzer, SP WAS",1,7.7,,,,,,4
LAD,"Patrick Corbin, SP WAS",1,10.3,,,,,,4
LAD,"Jonathan Villar, 2B MIA",3,2.2,,,,,,4
LAD,"Marcus Stroman, SP NYM",1,6.3,,,,,,4
LAD,"Cole Hamels, SP ATL",1,0.7,,,,,,4
PHI,"Max Scherzer, SP WAS",1,12.5,,,,,,5
PHI,"Patrick Corbin, SP WAS",1,11.5,,,,,,5
PHI,"Marcus Stroman, SP NYM",2,8.5,,,,,,5
PHI,"Will Harris, RP WAS",2,0.9,,,,,,5
PHI,"Adam Morgan, RP PHI",1,0.45,,,,,,5
PHI,"Jean Segura, SS PHI",1,1.5,,,,,,5
PHI,"Wilson Ramos, C NYM",1,1.75,,,,,,5
PHI,"Kurt Suzuki, C WAS",1,1.75,,,,,,5
BOS,"Max Scherzer, SP WAS",1,16.09,,,,,,6
BOS,"Patrick Corbin, SP WAS",2,10.79,9.79,11.79,,,,6
BOS,"Marcus Stroman, SP NYM",2,4.19,,,,,,6
BOS,"Dellin Betances, RP NYM",2,1.07,,,,,,6
BOS,"Shane Greene, RP ATL",2,1.07,,,,,,6
BOS,"Will Harris, RP WAS",2,1.07,,,,,,6
BOS,"Austin Voth, SP WAS",3,0.87,,,,,,6
BOS,"Jonathan Villar, 2B MIA",2,4.88,4.7,5.06,,,,6
BOS,"Wilson Ramos, C NYM",1,1.19,,,,,,6
BOS,"Jean Segura, SS PHI",1,1.79,,,,,,6
BOS,"Andrew McCutchen, OF PHI",1,2.18,,,,,,6
BOS,"Robinson Cano, 2B NYM",1,0.49,,,,,,6
BOS,"Travis d'Arnaud, C ATL",1,0.48,,,,,,6
BOS,"Starlin Castro, 2B WAS",1,0.69,,,,,,6
BOS,"Garrett Cooper, 1B MIA",2,0.49,,,,,,6
BOS,"Jesus Aguilar, 1B MIA",3,0.69,,,,,,6
BOS,"Cole Hamels, SP ATL",2,2.39,,,,,,6
ATL,"Jonathan Villar, 2B MIA",1,9.75,,,,,,7
ATL,"Robinson Cano, 2B NYM",1,2.75,,,,,,7
ATL,"Max Scherzer, SP WAS",1,10,,,,,,7
ATL,"Patrick Corbin, SP WAS",3,9,,,,,,7
ATL,"Marcus Stroman, SP NYM",3,6,5,6,7,,,7
ATL,"Cole Hamels, SP ATL",1,0.5,,,,,,7
ATL,"Rick Porcello, SP NYM",1,3.65,,,,,,7
ATL,"Brandon Kintzler, RP MIA",1,4.55,,,,,,7
ATL,"Dellin Betances, RP NYM",1,4,,,,,,7
ATL,"Felix Hernandez, SP ATL",1,0.4,,,,,,7
ATL,"Will Harris, RP WAS",1,3.95,,,,,,7
ATL,"Jesus Aguilar, 1B MIA",1,0.94,,,,,,7
NYY,"Marcus Stroman, SP NYM",2,3.25,,,,,,8
NYY,"Rick Porcello, SP NYM",2,2.24,,,,,,8
NYY,"Cole Hamels, SP ATL",1,4.6,,,,,,8
NYY,"Austin Voth, SP WAS",3,0.55,,,,,,8
NYY,"Patrick Corbin, SP WAS",2,9,,,,,,8
NYY,"Chris Martin, RP ATL",2,0.75,,,,,,8
NYY,"Ranger Suarez, RP PHI",4,0.45,,,,,,8
PIT,"Jonathan Villar, 2B MIA",1,13.81,,,,,,9
PIT,"Starlin Castro, 2B WAS",1,1.81,,,,,,9
PIT,"Robinson Cano, 2B NYM",1,1.31,,,,,,9
PIT,"Wander Suero, RP WAS",2,0.81,,,,,,9
PIT,"Ranger Suarez, RP PHI",5,0.42,,,,,,9
PIT,"Brandon Kintzler, RP MIA",1,0.51,,,,,,9
PIT,"Dellin Betances, RP NYM",1,0.51,,,,,,9
PIT,"Marcus Stroman, SP NYM",2,5.81,,,,,,9
CLE,"Jonathan Villar, 2B MIA",1,7.9,,,,,,10
CLE,"Robinson Cano, 2B NYM",1,0.4,,,,,,10
CLE,"Starlin Castro, 2B WAS",1,0.4,,,,,,10
CLE,"Andrew McCutchen, OF PHI",1,2.95,,,,,,10
CLE,"Jesus Aguilar, 1B MIA",2,0.45,,,,,,10
CLE,"Max Scherzer, SP WAS",1,15.75,,,,,,10
CLE,"Patrick Corbin, SP WAS",1,10.45,,,,,,10
CLE,"Marcus Stroman, SP NYM",1,3.9,,,,,,10
CLE,"Dellin Betances, RP NYM",2,1.35,,,,,,10
CLE,"Brandon Kintzler, RP MIA",1,1.1,,,,,,10
CLE,"Shane Greene, RP ATL",1,0.8,,,,,,10
CLE,"Will Harris, RP WAS",1,0.8,,,,,,10
NYM,"Jonathan Villar, 2B MIA",1,8.1,,,,,,11
NYM,"Jean Segura, SS PHI",1,3.5,,,,,,11
NYM,"Andrew McCutchen, OF PHI",1,1.5,,,,,,11
NYM,"Robinson Cano, 2B NYM",1,3.5,,,,,,11
NYM,"Jesus Aguilar, 1B MIA",5,0.7,,,,,,11
NYM,"Lewis Brinson, OF MIA",5,0.75,,,,,,11
NYM,"Yoenis Cespedes, OF NYM",2,2.5,,,,,,11
NYM,"Max Scherzer, SP WAS",1,13,,,,,,11
NYM,"Patrick Corbin, SP WAS",1,9,,,,,,11
NYM,"Marcus Stroman, SP NYM",1,3.6,,,,,,11
NYM,"Cole Hamels, SP ATL",1,3.5,,,,,,11
NYM,"Rick Porcello, SP NYM",1,3.5,,,,,,11
NYM,"Dellin Betances, RP NYM",4,4,3.5,4,4,4.5,,11
NYM,"Jake Arrieta, SP PHI",1,0.6,,,,,,11
NYM,"Will Harris, RP WAS",1,0.7,,,,,,11
NYM,"Jeurys Familia, RP NYM",3,0.75,,,,,,11
NYM,"Shane Greene, RP ATL",2,0.7,,,,,,11
NYM,"Chris Martin, RP ATL",3,0.75,,,,,,11
LAD,"Max Scherzer, SP WAS",1,8.7,,,,,,12
LAD,"Patrick Corbin, SP WAS",1,12.8,,,,,,12
LAD,"Jonathan Villar, 2B MIA",3,3.1,,,,,,12
LAD,"Marcus Stroman, SP NYM",1,6.6,,,,,,12
LAD,"Cole Hamels, SP ATL",1,0.8,,,,,,12
SD,"Max Scherzer, SP WAS",1,6.97,,,,,,13
SD,"Patrick Corbin, SP WAS",3,11,,,,,,13
SD,"Marcus Stroman, SP NYM",3,4.77,,,,,,13
SD,"Austin Voth, SP WAS",3,1.07,,,,,,13
SD,"Dellin Betances, RP NYM",3,3.47,,,,,,13
TOR,"Jonathan Villar, 2B MIA",2,7.4,8.5,6.3,,,,14
TOR,"Starlin Castro, 2B WAS",2,4.2,,,,,,14
TOR,"Jean Segura, SS PHI",1,5.1,,,,,,14
TOR,"Andrew McCutchen, OF PHI",1,4.5,,,,,,14
TOR,"Max Scherzer, SP WAS",1,9.8,,,,,,14
TOR,"Marcus Stroman, SP NYM",2,6.6,7.8,5.4,,,,14
TOR,"Austin Voth, SP WAS",4,3.9,,,,,,14
OAK,"Jonathan Villar, 2B MIA",1,3.89,,,,,,15
OAK,"Jean Segura, SS PHI",1,2.76,,,,,,15
OAK,"Robinson Cano, 2B NYM",1,1.96,,,,,,15
OAK,"Max Scherzer, SP WAS",2,15.5,12.5,18.5,,,,15
