[b]LAD[/b],,,,,,,[b]LAD[/b]
Hirokazu Sawamura, SP BOS, 3 years at 0.46 per year,,,,,"Hirokazu Sawamura, SP BOS, 3 years at 0.46 per year"
,,,,,,,
[b]BOS[/b],,,,,,,[b]BOS[/b]
Domingo German, SP NYY, 3 years at 3.68 per year,,,,,"Domingo German, SP NYY, 3 years at 3.68 per year"
DJ LeMahieu, 1B/2B/3B NYY, 1 year at 14.78 per year,,,,,"DJ LeMahieu, 1B/2B/3B NYY, 1 year at 14.78 per year"
Hyun-Jin Ryu, SP TOR, 1 year at 10.19 per year,,,,,"Hyun-Jin Ryu, SP TOR, 1 year at 10.19 per year"
Corey Kluber, SP NYY, 1 year at 8.19 per year,,,,,"Corey Kluber, SP NYY, 1 year at 8.19 per year"
Jackie Bradley JR, OF BOS, 1 year at 1.79 per year,,,,,"Jackie Bradley JR, OF BOS, 1 year at 1.79 per year"
Freddy Garcia, 2B BAL, 1 year at 0.68 per year,,,,,"Freddy Garcia, 2B BAL, 1 year at 0.68 per year"
,,,,,,,
[b]PIT[/b],,,,,,,[b]PIT[/b]
Pedro Severino, C BAL, 1 year at 0.76 per year,,,,,"Pedro Severino, C BAL, 1 year at 0.76 per year"
Kyle Higashioka, C NYY, 1 year at 0.76 per year,,,,,"Kyle Higashioka, C NYY, 1 year at 0.76 per year"
,,,,,,,
[b]DET[/b],,,,,,,[b]DET[/b]
Matt Barnes, RP BOS, 2 years at 7.00 per year,,,,,"Matt Barnes, RP BOS, 2 years at 7.00 per year"
Pat Valaika, 1B BAL, 2 years at 0.80 per year,,,,,"Pat Valaika, 1B BAL, 2 years at 0.80 per year"
Freddy Galvis, SS BAL, 1 year at 1.50 per year,,,,,"Freddy Galvis, SS BAL, 1 year at 1.50 per year"
,,,,,,,
[b]OAK[/b],,,,,,,[b]OAK[/b]
Yonny Chirinos, RP TB, 5 years at 0.65 per year,,,,,"Yonny Chirinos, RP TB, 5 years at 0.65 per year"
Enrique Hernandez, 2B BOS, 2 years at 1.00 per year,,,,,"Enrique Hernandez, 2B BOS, 2 years at 1.00 per year"
,,,,,,,
[b]KC[/b],,,,,,,[b]KC[/b]
Chris Sale, SP BOS, 4 years at 8.52 per year,,,,,"Chris Sale, SP BOS, 4 years at 8.52 per year"
Martin Perez, SP BOS, 1 year at 2.02 per year,,,,,"Martin Perez, SP BOS, 1 year at 2.02 per year"
,,,,,,,
[b]SD[/b],,,,,,,[b]SD[/b]
Aroldis Chapman, RP NYY, 1 year at 11.43 per year,,,,,"Aroldis Chapman, RP NYY, 1 year at 11.43 per year"
