[b]OAK[/b],,,,,,,,[b]OAK[/b]
Corey Dickerson, OF MIA, 1.0 year at 1.25 per year,,,,,,"Corey Dickerson, OF MIA, 1.0 year at 1.25 per year"
,,,,,,,,
[b]TOR[/b],,,,,,,,[b]TOR[/b]
Michael Conforto, OF NYM," 4.0 years at 12.00 per year (14.4, 14.4, 9.6, 9.6)",,,,,,"Michael Conforto, OF NYM, 4.0 years at 12.00 per year (14.4, 14.4, 9.6, 9.6)"
Andrew Stevenson, OF WAS, 3.0 years at 2.00 per year,,,,,,"Andrew Stevenson, OF WAS, 3.0 years at 2.00 per year"
Tony Watson, RP PHI, 1.0 year at 1.30 per year,,,,,,"Tony Watson, RP PHI, 1.0 year at 1.30 per year"
Will Harris, RP WAS, 1.0 year at 0.60 per year,,,,,,"Will Harris, RP WAS, 1.0 year at 0.60 per year"
,,,,,,,,
[b]ATL[/b],,,,,,,,[b]ATL[/b]
Adam Duvall, OF ATL, 1.0 year at 2.50 per year,,,,,,"Adam Duvall, OF ATL, 1.0 year at 2.50 per year"
Jonathan Villar, 2B NYM, 1.0 year at 2.95 per year,,,,,,"Jonathan Villar, 2B NYM, 1.0 year at 2.95 per year"
Mark Melancon, RP ATL, 1.0 year at 2.25 per year,,,,,,"Mark Melancon, RP ATL, 1.0 year at 2.25 per year"
Brandon Kintzler, RP PHI, 1.0 year at 1.75 per year,,,,,,"Brandon Kintzler, RP PHI, 1.0 year at 1.75 per year"
,,,,,,,,
[b]CHC[/b],,,,,,,,[b]CHC[/b]
Edwin Diaz, RP NYM, 1.0 year at 10.90 per year,,,,,,"Edwin Diaz, RP NYM, 1.0 year at 10.90 per year"
Freddie Freeman, 1B ATL, 1.0 year at 19.96 per year,,,,,,"Freddie Freeman, 1B ATL, 1.0 year at 19.96 per year"
Will Smith, RP ATL, 1.0 year at 4.89 per year,,,,,,"Will Smith, RP ATL, 1.0 year at 4.89 per year"
Daniel Hudson, P WAS, 1.0 year at 2.95 per year,,,,,,"Daniel Hudson, P WAS, 1.0 year at 2.95 per year"
David Robertson, RP PHI, 2.0 years at 0.99 per year,,,,,,"David Robertson, RP PHI, 2.0 years at 0.99 per year"
Sean Newcomb, P ATL, 3.0 years at 0.40 per year,,,,,,"Sean Newcomb, P ATL, 3.0 years at 0.40 per year"
,,,,,,,,
[b]ARZ[/b],,,,,,,,[b]ARZ[/b]
Andrew McCutchen, OF PHI, 1.0 year at 4.80 per year,,,,,,"Andrew McCutchen, OF PHI, 1.0 year at 4.80 per year"
Jon Lester, SP WAS, 1.0 year at 3.00 per year,,,,,,"Jon Lester, SP WAS, 1.0 year at 3.00 per year"
Rick Porcello, SP NYM, 1.0 year at 1.00 per year,,,,,,"Rick Porcello, SP NYM, 1.0 year at 1.00 per year"
Anibal Sanchez, SP WAS, 1.0 year at 1.00 per year,,,,,,"Anibal Sanchez, SP WAS, 1.0 year at 1.00 per year"
