[b]OAK[/b]
David Peralta, OF ARZ, 1 year at 1.50 per year
Blake Snell, SP SD, 2 years at 12.25 per year

[b]DET[/b]
Kole Calhoun, OF ARZ, 4 years at 4.80 per year

[b]TB[/b]
Kenley Jansen, RP LAD, 1 year at 8.00 per year
Drew Pomeranz, RP SD, 1 year at 4.00 per year
Justin Turner, 3B LAD, 3 years at 6.50 per year

[b]CHC[/b]
Donovan Solano, 2B SF, 1 year at 0.40 per year
Tim Locastro, OF ARZ, 1 year at 0.41 per year
Stefan Crichton, RP ARZ, 2 years at 1.04 per year
Blake Treinen, RP LAD, 1 year at 3.99 per year

[b]WAS[/b]
Tommy Pham, OF SD, 3 years at 6.00 per year
Jon Gray, P COL, 2 years at 3.00 per year

[b]NYM[/b]
Max Muncy, 3B LAD, 1 year at 9.55 per year
Ketel Marte, 2B ARZ, 1 year at 9.55 per year
Chris Taylor, 2B LAD, 1 year at 5.77 per year
AJ Pollock, OF LAD, 2 years at 5.65 per year (5.30, 6.00)
Brandon Belt, 1B SF, 2 years at 2.80 per year
Aaron Sanchez, P SF, 3 years at 2.10 per year (1.70, 2.10, 2.50)
Alex Dickerson, OF SD, 3 years at 1.66 per year

[b]BOS[/b]
Eduardo Escobar, 3B ARZ, 1 year at 3.79 per year
Tommy LaStella, 2B SF, 1 year at 0.89 per year
Jake McGee, RP SF, 1 year at 1.29 per year
Corey Knebel, RP LAD, 2 years at 0.79 per year

[b]KC[/b]
Daniel Bard, SP COL, 1 year at 3.52 per year

[b]NYY[/b]
Tommy Kahnle, RP LAD, 2 years at 0.55 per year

[b]ARZ[/b]
Manny Machado, 3B SD, 1 year at 16.00 per year
Buster Posey, C SF, 1 year at 1.00 per year
Johnny Cueto, SP SF, 1 year at 1.25 per year

[b]CLE[/b]
Emilio Pagan, RP SD, 1 year at 1.21 per year
Matt Wisler, RP SF, 1 year at 0.65 per year
Austin Adams, RP SD, 2 years at 0.55 per year

[b]SD[/b]
Joakim Soria, RP ARZ, 1 year at 2.14 per year
CJ Cron, 1B COL, 2 years at 4.34 per year
Reyes Moronta, RP SF, 1 year at 1.14 per year
Mark Melancon, RP SD, 1 year at 0.77 per year

[b]LAD[/b]
Austin Gomber, RP COL, 2 years at 0.40 per year
Jimmy Nelson, SP LAD, 2 years at 0.40 per year
Wilmer Flores, 2B SF, 3 years at 0.62 per year

[b]SEA[/b]
Ha-Seong Kim, SS SD, 5 years at 4.00 per year
Josh Fuentes, 1B COL, 3 years at 3.00 per year

[b]TOR[/b]
Eric Hosmer, 1B SD, 1 year at 5.30 per year

