Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order
LAD,"Hirokazu Sawamura, SP BOS",3,0.46,,,,,,1
LAD,"Chris Sale, SP BOS",5,2.2,,,,,,1
LAD,"Domingo German, SP NYY",5,0.52,,,,,,1
LAD,"Yonny Chirinos, RP TB",5,0.41,,,,,,1
LAD,"Gerrit Cole, SP NYY",2,15.3,,,,,,1
NYM,"DJ LeMahieu, 1B/2B/3B NYY",1,9.77,,,,,,2
NYM,"JD Martinez, DH BOS",1,7.78,,,,,,2
NYM,"Giancarlo Stanton, DH NYY",2,7.1,8.1,6.1,,,,2
NYM,"Gerrit Cole, SP NYY",3,14.1,15.1,14.1,13.1,,,2
NYM,"Hyun-Jin Ryu, SP TOR",1,5.77,,,,,,2
NYM,"Aroldis Chapman, RP NYY",1,5.77,,,,,,2
NYM,"Kirby Yates, RP TOR",1,4.77,,,,,,2
NYM,"Corey Kluber, SP NYY",1,4.5,,,,,,2
NYM,"Eduardo Rodriguez, SP BOS",2,3.5,4,3,,,,2
NYM,"Matt Barnes, RP BOS",1,0.5,,,,,,2
NYM,"Martin Perez, SP BOS",1,0.56,,,,,,2
NYM,"Domingo German, SP NYY",4,1.25,,,,,,2
NYM,"Robbie Ray, SP TOR",1,1.7,,,,,,2
NYM,"Adam Ottavino, RP BOS",1,0.6,,,,,,2
BOS,"JD Martinez, DH BOS",1,12.39,,,,,,3
BOS,"DJ LeMahieu, 1B/2B/3B NYY",1,14.78,,,,,,3
BOS,"Randal Grichuk, OF TOR",1,1.19,,,,,,3
BOS,"Giancarlo Stanton, DH NYY",1,7.19,,,,,,3
BOS,"Jackie Bradley JR, OF BOS",1,1.79,,,,,,3
BOS,"Enrique Hernandez, 2B BOS",2,0.78,,,,,,3
BOS,"Freddy Garcia, 2B BAL",1,0.68,,,,,,3
BOS,"Joey Wendell, 2B TB",1,0.68,,,,,,3
BOS,"Gerrit Cole, SP NYY",1,15.97,,,,,,3
BOS,"Hyun-Jin Ryu, SP TOR",1,10.19,,,,,,3
BOS,"Eduardo Rodriguez, SP BOS",1,4.19,,,,,,3
BOS,"Robbie Ray, SP TOR",1,3.19,,,,,,3
BOS,"Martin Perez, SP BOS",1,1.19,,,,,,3
BOS,"Domingo German, SP NYY",3,3.68,,,,,,3
BOS,"Corey Kluber, SP NYY",1,8.19,,,,,,3
BOS,"Aroldis Chapman, RP NYY",1,7.29,,,,,,3
BOS,"Kirby Yates, RP TOR",1,7.29,,,,,,3
BOS,"Matt Barnes, RP BOS",1,2.79,,,,,,3
BOS,"Adam Ottavino, RP BOS",1,2.59,,,,,,3
BOS,"Zack Britton, RP NYY",1,0.79,,,,,,3
PIT,"Pedro Severino, C BAL",1,0.76,,,,,,4
PIT,"Kyle Higashioka, C NYY",1,0.76,,,,,,4
PIT,"DJ LeMahieu, 1B/2B/3B NYY",1,8.31,,,,,,4
PIT,"Gio Urshela, 3B NYY",2,3.81,,,,,,4
PIT,"Hyun-Jin Ryu, SP TOR",1,8.31,,,,,,4
PIT,"Corey Kluber, SP NYY",1,4.31,,,,,,4
PIT,"Eduardo Rodriguez, SP BOS",3,2.81,,,,,,4
PIT,"Domingo German, SP NYY",2,1.31,,,,,,4
DET,"DJ LeMahieu, 1B/2B/3B NYY",4,14,,,,,,5
DET,"JD Martinez, DH BOS",3,12,,,,,,5
DET,"Giancarlo Stanton, DH NYY",1,6,,,,,,5
DET,"Gio Urshela, 3B NYY",3,3.6,,,,,,5
DET,"Pat Valaika, 1B BAL",2,0.8,,,,,,5
DET,"Freddy Galvis, SS BAL",1,1.5,,,,,,5
DET,"Aroldis Chapman, RP NYY",2,10.5,,,,,,5
DET,"Kirby Yates, RP TOR",2,8,,,,,,5
DET,"Matt Barnes, RP BOS",2,7,,,,,,5
CLE,"JD Martinez, DH BOS",1,8.1,,,,,,6
CLE,"Giancarlo Stanton, DH NYY",1,7.2,,,,,,6
CLE,"Gio Urshela, 3B NYY",2,1.5,,,,,,6
CLE,"Joey Wendell, 2B TB",2,0.66,,,,,,6
CLE,"Gerrit Cole, SP NYY",1,16.26,,,,,,6
CLE,"Hyun-Jin Ryu, SP TOR",1,8.52,,,,,,6
CLE,"Corey Kluber, SP NYY",1,5.15,,,,,,6
CLE,"Eduardo Rodriguez, SP BOS",2,4.47,,,,,,6
CLE,"Robbie Ray, SP TOR",2,1.89,,,,,,6
CLE,"Aroldis Chapman, RP NYY",1,8.46,,,,,,6
CLE,"Kirby Yates, RP TOR",1,6.1,,,,,,6
CLE,"Matt Barnes, RP BOS",1,1.6,,,,,,6
CLE,"Zack Britton, RP NYY",1,1.75,,,,,,6
CLE,"Adam Ottavino, RP BOS",1,0.75,,,,,,6
CLE,"Tanner Scott, RP BAL",1,0.55,,,,,,6
LAD,"Robbie Ray, SP TOR",2,0.42,,,,,,7
