Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,
OAK,"Aaron Nola, SP PHI",4.00,10.00,,,,,,1.00,"OAKAaron Nola, SP PHI"
TOR,"Aaron Nola, SP PHI",3.00,9.70,,,,,,2.00,"TORAaron Nola, SP PHI"
ATL,"Aaron Nola, SP PHI",1.00,7.50,,,,,,3.00,"ATLAaron Nola, SP PHI"
CHC,"Aaron Nola, SP PHI",2.00,14.40,,,,,,4.00,"CHCAaron Nola, SP PHI"
ARZ,"Aaron Nola, SP PHI",1.00,8.00,,,,,,5.00,"ARZAaron Nola, SP PHI"
LAD,"Aaron Nola, SP PHI",2.00,6.40,,,,,,6.00,"LADAaron Nola, SP PHI"
CLE,"Aaron Nola, SP PHI",1.00,12.79,,,,,,7.00,"CLEAaron Nola, SP PHI"
SEA,"Aaron Nola, SP PHI",4.00,5.00,,,,,,8.00,"SEAAaron Nola, SP PHI"
NYM,"Aaron Nola, SP PHI",2.00,12.00,13.00,11.00,,,,9.00,"NYMAaron Nola, SP PHI"
WAS,"Aaron Nola, SP PHI",4.00,10.00,,,,,,10.00,"WASAaron Nola, SP PHI"
SD,"Aaron Nola, SP PHI",4.00,9.43,,,,,,11.00,"SDAaron Nola, SP PHI"
PIT,"Aaron Nola, SP PHI",5.00,16.31,17.94,17.94,16.31,13.05,13.05,13.00,"PITAaron Nola, SP PHI"
BOS,"Aaron Nola, SP PHI",3.00,12.68,11.50,12.90,13.67,,,14.00,"BOSAaron Nola, SP PHI"
DET,"Aaron Nola, SP PHI",4.00,12.40,,,,,,16.00,"DETAaron Nola, SP PHI"
OAK,"Adam Duvall, OF ATL",1.00,2.20,,,,,,1.00,"OAKAdam Duvall, OF ATL"
ATL,"Adam Duvall, OF ATL",1.00,2.50,,,,,,3.00,"ATLAdam Duvall, OF ATL"
OAK,"Andrew McCutchen, OF PHI",1.00,1.90,,,,,,1.00,"OAKAndrew McCutchen, OF PHI"
ARZ,"Andrew McCutchen, OF PHI",1.00,4.80,,,,,,5.00,"ARZAndrew McCutchen, OF PHI"
BOS,"Andrew McCutchen, OF PHI",1.00,0.89,,,,,,14.00,"BOSAndrew McCutchen, OF PHI"
NYY,"Andrew McCutchen, OF PHI",1.00,1.00,,,,,,17.00,"NYYAndrew McCutchen, OF PHI"
TOR,"Andrew Stevenson, OF WAS",3.00,2.00,,,,,,2.00,"TORAndrew Stevenson, OF WAS"
ARZ,"Anibal Sanchez, SP WAS",1.00,1.00,,,,,,5.00,"ARZAnibal Sanchez, SP WAS"
ATL,"Anthony Bass, P MIA",1.00,3.95,,,,,,3.00,"ATLAnthony Bass, P MIA"
ARZ,"Anthony Bass, P MIA",1.00,0.75,,,,,,5.00,"ARZAnthony Bass, P MIA"
CLE,"Anthony Bass, P MIA",1.00,0.80,,,,,,7.00,"CLEAnthony Bass, P MIA"
