Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order
BOS,"Trey Mancini, 1B BAL",3,2.17,,,,,,1
BOS,"Josh Bell, 1B WAS",3,3.17,,,,,,1
BOS,"Dylan Bundy, SP LAA",3,3.78,,,,,,1
BOS,"Byron Buxton, OF MIN",3,5.17,,,,,,1
BOS,"Dinelson Lamet, SP SD",3,4.58,,,,,,1
BOS,"Sean Manaea, SP OAK",3,4.17,,,,,,1
BOS,"Luis Severino, SP NYY",3,3.17,,,,,,1
BOS,"Joe Musgrove, SP PIT",3,4.17,,,,,,1
PIT,"Luis Severino, SP NYY",3,7.26,,,,,,2
PIT,"Josh Bell, 1B WAS",3,4.76,,,,,,2
NYM,"Trey Mancini, 1B BAL",3,3.5,,,,,,3
CLE,"Trey Mancini, 1B BAL",3,1.55,,,,,,3
CLE,"Josh Bell, 1B WAS",3,4.1,,,,,,3
CLE,"Max Kepler, OF MIN",3,3.55,,,,,,3
CLE,"Byron Buxton, OF MIN",3,4.65,,,,,,3
CLE,"Dinelson Lamet, SP SD",3,5.1,,,,,,3
CLE,"Sean Manaea, SP OAK",3,5.25,,,,,,3
CLE,"Luis Severino, SP NYY",3,6.1,,,,,,3
CLE,"Joe Musgrove, SP PIT",3,5.2,,,,,,3
ATL,"Dinelson Lamet, SP SD",3,9,,,,,,4
ATL,"Dylan Bundy, SP LAA",3,3.25,,,,,,4
ATL,"Josh Bell, 1B WAS",3,9.25,,,,,,4
ATL,"Joe Musgrove, SP PIT",3,8.5,,,,,,4
ATL,"Trey Mancini, 1B BAL",3,2,,,,,,4
ARZ,"Trey Mancini, 1B BAL",3,3,,,,,,5
ARZ,"Josh Bell, 1B WAS",3,2.25,,,,,,5
ARZ,"Kyle Freeland, SP COL",3,2.5,,,,,,5
ARZ,"Dylan Bundy, SP LAA",4,5,,,,,,5
ARZ,"Max Kepler, OF MIN",3,2.5,,,,,,5
ARZ,"Byron Buxton, OF MIN",3,1,,,,,,5
ARZ,"Dinelson Lamet, SP SD",5,1,,,,,,5
ARZ,"Sean Manaea, SP OAK",3,3,,,,,,5
ARZ,"Joe Musgrove, SP PIT",3,3.5,,,,,,5
ARZ,"Luis Severino, SP NYY",3,4,,,,,,5
OAK,"Trey Mancini, 1B BAL",4,1.25,,,,,,6
OAK,"Max Kepler, OF MIN",4,2.8,,,,,,6
OAK,"Byron Buxton, OF MIN",4,3.3,,,,,,6
OAK,"Dinelson Lamet, SP SD",4,4.5,,,,,,6
OAK,"Joe Musgrove, SP PIT",3,2.15,,,,,,6
LAD,"Trey Mancini, 1B BAL",3,4.4,,,,,,7
LAD,"Antonio Senzatela, SP COL",3,2.2,,,,,,7
LAD,"Dylan Bundy, SP LAA",3,4.1,,,,,,7
LAD,"Max Kepler, OF MIN",3,4.7,,,,,,7
LAD,"Dinelson Lamet, SP SD",3,9.2,,,,,,7
LAD,"Luis Severino, SP NYY",5,4.9,,,,,,7
LAD,"Sean Manaea, SP OAK",3,3.6,,,,,,7
LAD,"Joe Musgrove, SP PIT",3,4.3,,,,,,7
SD,"Joe Musgrove, SP PIT",3,4.14,,,,,,8
SD,"Dinelson Lamet, SP SD",3,7.14,,,,,,8
SD,"Josh Bell, 1B WAS",3,6.14,,,,,,8
SD,"Dylan Bundy, SP LAA",3,4.14,,,,,,8
SD,"Byron Buxton, OF MIN",3,6.14,,,,,,8
SD,"Trey Mancini, 1B BAL",3,3.14,,,,,,8
CHC,"Josh Bell, 1B WAS",4,6.95,,,,,,9
CHC,"Byron Buxton, OF MIN",4,6.69,,,,,,9
CHC,"Max Kepler, OF MIN",4,7.2,,,,,,9
CHC,"Jurickson Profar, 2B SD",4,3.99,,,,,,9
CHC,"Trey Mancini, 1B BAL",3,4.49,,,,,,9
CHC,"Mallex Smith, OF NYM",3,0.49,,,,,,9
CHC,"Sean Manaea, SP OAK",3,4.49,,,,,,9
CHC,"Luis Severino, SP NYY",4,5.95,,,,,,9
CHC,"Dinelson Lamet, SP SD",4,6.49,,,,,,9
CHC,"Dylan Bundy, SP LAA",4,3.89,,,,,,9
CHC,"Joe Musgrove, SP PIT",4,6.49,,,,,,9
CHC,"Antonio Senzatela, SP COL",3,0.89,,,,,,9
TOR,"Josh Bell, 1B WAS",4,5.5,,,,,,10
TOR,"Sean Manaea, SP OAK",3,3.1,,,,,,10
TOR,"Joe Musgrove, SP PIT",5,2.1,,,,,,10
TOR,"Max Kepler, OF MIN",4,2.2,,,,,,10
WAS,"Trey Mancini, 1B BAL",3,2,,,,,,11
WAS,"Josh Bell, 1B WAS",3,6,7,6,5,,,11
WAS,"Luis Severino, SP NYY",4,6,7,6,6,7,,11
WAS,"Joe Musgrove, SP PIT",4,4,,,,,,11
TB,"Trey Mancini, 1B BAL",4,6,,,,,,12
TB,"Luis Severino, SP NYY",4,11,,,,,,12
SEA,"Luis Severino, SP NYY",5,1.5,,,,,,13
SEA,"Max Kepler, OF MIN",3,3,,,,,,13
PHI,"Sean Manaea, SP OAK",3,5.5,,,,,,14
PHI,"Joe Musgrove, SP PIT",3,3.5,,,,,,14
KC,"Trey Mancini, 1B BAL",3,4.55,,,,,,15
KC,"Luis Severino, SP NYY",3,9.05,,,,,,15
KC,"Sean Manaea, SP OAK",3,2.55,,,,,,15
KC,"Joe Musgrove, SP PIT",3,3.05,,,,,,15
