Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,Sum Match,Max Check,Min Check,Text Order,,,,,,,,,,,
PHI,"Adam Morgan, RP PHI",1,0.45,,,,,,#VALUE!,,,,5,,,,,,,,,,,
WAS,"Andrew McCutchen, OF PHI",1,7,,,,,,#VALUE!,,,,18,,1.555555556,7.00,4.50,55.56%,,"Andrew McCutchen, OF PHI: 55.56% (7.00 vs. 4.50)",,,,
TOR,"Andrew McCutchen, OF PHI",1,4.5,,,,,,#VALUE!,,,,14,,,,,,,,,,,"Andrew McCutchen, OF PHI: 55.56% (7.00 vs. 4.50)"
BAL,"Andrew McCutchen, OF PHI",1,4,,,,,,#VALUE!,,,,20,,,,,,,,,,,"Austin Voth, SP WAS: 264.49% (3.90 vs. 1.07)"
ARZ,"Andrew McCutchen, OF PHI",1,3,,,,,,#VALUE!,,,,2,,,,,,,,,,,"Brandon Kintzler, RP MIA: 12.35% (4.55 vs. 4.05)"
TB,"Andrew McCutchen, OF PHI",2,3,2.5,3.5,,,,#VALUE!,0,0,0,3,,,,,,,,,,,"Chris Martin, RP ATL: 0.00% (0.75 vs. 0.75)"
CLE,"Andrew McCutchen, OF PHI",1,2.95,,,,,,#VALUE!,,,,10,,,,,,,,,,,"Cole Hamels, SP ATL: 31.43% (4.60 vs. 3.50)"
BOS,"Andrew McCutchen, OF PHI",1,2.18,,,,,,#VALUE!,,,,6,,,,,,,,,,,"Dellin Betances, RP NYM: 0.00% (4.00 vs. 4.00)"
NYM,"Andrew McCutchen, OF PHI",1,1.5,,,,,,#VALUE!,,,,11,,,,,,,,,,,"Garrett Cooper, 1B MIA: 2.04% (0.50 vs. 0.49)"
TOR,"Austin Voth, SP WAS",4,3.9,,,,,,#VALUE!,,,,14,,3.644859813,3.90,1.07,264.49%,,"Austin Voth, SP WAS: 264.49% (3.90 vs. 1.07)",,,,"Jake Arrieta, SP PHI: 57.69% (2.05 vs. 1.30)"
