[b]NYY[/b]
Jose Abreu, 1B CWS, 1 year at 10.30 per year
Hunter Dozier, 3B KC, 2 years at 2.25 per year

[b]ARZ[/b]
Yasmani Grandal, C CWS, 2 years at 6.00 per year
Whit Merrifield, 2B/OF KC, 1 year at 12.00 per year
Zack Greinke, SP KC, 1 year at 5.60 per year
Ryan Tepera, RP LAA (CWS), 1 year at 0.60 per year
Tyler Alexander, RP DET, 1 year at 0.60 per year
Salvador Perez, C KC, 2 years at 7.50 per year

[b]PIT[/b]
Robbie Grossman, OF DET, 1 year at 3.81 per year
Sonny Gray, SP MIN, 2 years at 6.81 per year
Reynaldo Lopez, RP CWS, 5 years at 0.51 per year

[b]BOS[/b]
Lance Lynn, SP CWS, 1 year at 10.17 per year
Liam Hendriks, RP CWS, 1 year at 9.62 per year
Aaron Bummer, RP CWS, 2 years at 1.27 per year
Andrew Chafin, RP DET, 2 years at 1.57 per year
Tyler Duffey, RP MIN, 2 years at 1.87 per year
Jharel Cotton, RP MIN, 3 years at 0.57 per year
Anthony Gose, RP CLE, 1 year at 0.77 per year
Joe Kelly, RP CWS, 1 year at 0.52 per year

[b]CLE[/b]
Taylor Rogers, RP MIN, 2 years at 7.80 per year
Craig Kimbrel, RP CWS, 3 years at 4.00 per year (4.50, 4.00, 3.60)

[b]NYM[/b]
Spencer Turnbull, SP DET, 5 years at 0.45 per year

[b]OAK[/b]
Matthew Boyd, SP DET, 2 years at 1.15 per year

[b]KC[/b]
Gregory Soto, RP DET, 1 year at 6.52 per year
Bradley Zimmer, OF CLE, 3 years at 1.02 per year

[b]TOR[/b]
Dylan Bundy, SP MIN, 3 years at 2.90 per year

[b]SD[/b]
Josh Harrison, 2B/OF CWS, 1 year at 2.14 per year

[b]WAS[/b]
Nicky Lopez, 2B KC, 1 year at 1.00 per year

