[b]DET[/b]
Gerrit Cole, SP NYY, 3 years at 20.00 per year (16.00, 22.00, 22.00)
Josh Donaldson, 3B NYY, 2 years at 7.00 per year (6.00, 8.00)

[b]NYY[/b]
Ji-Man Choi, 1B TB, 1 year at 1.10 per year
Jackie Bradley Jr, OF BOS, 1 year at 1.00 per year

[b]ARZ[/b]
Ross Stripling, SP TOR, 1 year at 1.20 per year
Matt Wisler, RP TB, 1 year at 0.50 per year

[b]PIT[/b]
Nestor Cortes, SP NYY, 4 years at 3.81 per year

[b]KC[/b]
Rich Hill, SP BOS, 1 year at 2.52 per year

[b]ATL[/b]
Anthony Sandander, OF BAL, 1 year at 3.00 per year
Mike Zunino, C TB, 1 year at 2.00 per year
Jordan Lyles, SP BAL, 1 year at 2.00 per year
Zac Lowther, SP BAL, 1 year at 1.00 per year
Bruce Zimmerman, SP BAL, 1 year at nan per year
Jake Diekman, RP BOS, 1 year at 3.50 per year

[b]BOS[/b]
Hyun-jin Ryu, SP TOR, 2 years at 6.79 per year
Ramon Urias, IF BAL, 3 years at 0.82 per year
Keegan Akin, SP BAL, 2 years at 0.78 per year
Ryan Thompson, RP TB, 2 years at 0.40 per year

[b]NYM[/b]
Nelson Cruz, U TB, 1 year at 5.50 per year

[b]OAK[/b]
Anthony Rizzo, 1B NYY, 2 years at 6.55 per year
Danny Jansen, C TOR, 3 years at 0.68 per year
Colin Poche, RP TB, 5 years at 0.58 per year
Nick Anderson, RP TB, 3 years at 0.69 per year

[b]SD[/b]
Andrew Kittredge, RP TB, 2 years at 6.73 per year
Nathan Eovaldi, SP BOS, 2 years at 9.53 per year

[b]CLE[/b]
JT Chargois, RP TB, 1 year at 0.58 per year
Tim Mayza, RP TOR, 1 year at 0.79 per year

[b]LAD[/b]
Chris Owings, OF BAL, 2 years at 0.40 per year

[b]TOR[/b]
Michael Wacha, SP BOS, 3 years at 3.30 per year
Clay Holmes, RP NYY, 4 years at 0.55 per year

[b]WAS[/b]
Aroldis Chapman, RP NYY, 1 year at 9.00 per year
Jameson Taillon, SP NYY, 3 years at 7.00 per year
Corey Kluber, SP TB, 1 year at 6.00 per year
James Paxton, SP BOS, 2 years at 6.00 per year
Chris Archer, SP TB, 1 year at 2.00 per year
Jalen Beeks, RP TB, 3 years at 1.00 per year

[b]CHC[/b]
Matt Barnes, RP BOS, 1 year at 7.59 per year
DJ LeMahieu, IF NYY, 1 year at 6.35 per year
Christian Vazquez, C BOS, 1 year at 2.22 per year

