[b]TB[/b]
Frankie Montas, SP OAK, 2 years at 14.00 per year (13.00, 15.00)
Jared Walsh, 1B/OF LAA, 3 years at 12.00 per year
Jake Odorizzi, SP HOU, 1 year at 1.95 per year
Jose LeClerc, RP TEX, 2 years at 2.00 per year (0.85, 3.15)

[b]NYY[/b]
Max Stassi, C LAA, 1 year at 0.55 per year
Jose Suarez, RP LAA, 4 years at 3.00 per year (2.40, 3.20, 3.20, 3.20)

[b]ATL[/b]
Patrick Sandoval, SP LAA, 3 years at 0.80 per year

[b]SEA[/b]
Eugenio Suarez, 3B SEA, 1 year at 2.00 per year

[b]CHC[/b]
Robbie Ray, SP SEA, 1 year at 10.99 per year
Marcus Semien, 2B TEX, 1 year at 14.29 per year
Raisel Iglesias, RP LAA, 1 year at 8.99 per year
Ryan Pressly, RP HOU, 1 year at 8.49 per year
Anthony Rendon, 3B LAA, 1 year at 8.99 per year
Michael Brantley, OF HOU, 1 year at 3.99 per year
Hector Neris, RP HOU, 1 year at 1.99 per year

[b]NYM[/b]
Luis Torrens, C SEA, 1 year at 0.55 per year
Zack Greinke, SP HOU, 1 year at 2.10 per year

[b]SD[/b]
Taylor Hearn, RP TEX, 3 years at 2.14 per year

[b]KC[/b]
Adolis Garcia, OF TEX, 1 year at 6.02 per year
Martin Perez, SP TEX, 1 year at 1.02 per year

[b]TOR[/b]
Jaime Barria, RP LAA, 5 years at 0.51 per year

[b]CLE[/b]
Garrett Richards, SP TEX, 1 year at 0.40 per year

[b]PHI[/b]
Chad Pinder, OF OAK, 5 years at 0.55 per year
Aaron Loup, RP LAA, 2 years at 0.42 per year

[b]ARZ[/b]
Yuli Gurriel, 1B HOU, 2 years at 4.60 per year

[b]BOS[/b]
Lou Trivino, RP OAK, 2 years at 3.79 per year
Robert Suarez, RP SD, 1 year at 1.79 per year
Art Warren, RP SEA/CIN, 1 year at 1.59 per year

