[b]ARZ[/b]
Nick Ahmed, SS ARZ, 1 year at 0.40 per year

[b]NYM[/b]
Steven Wilson, RP SD, 1 year at 0.88 per year
Bryan Baker, RP BAL, 1 year at 0.75 per year

[b]TB[/b]
Mauricio Dubon, SS HOU, 1 year at 0.63 per year
Franchy Cordero, 1B/OF NYY, 1 year at 1.04 per year
Kevin Kiermaier, OF TOR, 1 year at 0.55 per year
Ryan Jeffers, C MIN, 1 year at 0.41 per year

[b]KC[/b]
Bobby Dalbec, 3B BOS, 1 year at 0.52 per year

[b]TOR[/b]
Josh Winckowski, SP BOS, 1 year at 0.45 per year

[b]PIT[/b]
Jesse Chavez, RP ATL, 1 year at 0.41 per year
Trevor Gott, RP SEA, 1 year at 0.41 per year

