[b]LAD[/b]
Harold Castro, 3B COL, 2 years at 0.40 per year
Gio Urshela, 3B LAA, 2 years at 0.42 per year

[b]ARZ[/b]
Matt Moore, RP LAA, 1 year at 0.50 per year
Jose Cisneros, RP DET, 1 year at 0.45 per year
Trevor WIlliams, SP WAS, 1 year at 0.50 per year
Josh Fleming, SP TB, 1 year at 0.70 per year
Matt Strahm, SP KC, 1 year at 1.00 per year
Chris Taylor, 2B LAD, 1 year at 1.00 per year
Cavan BIggio, 2B TOR, 1 year at 0.40 per year
Matt Carpenter, OF SD, 1 year at 1.00 per year
Andrew McCutchen, OF PIT, 1 year at 1.00 per year

[b]OAK[/b]
Jace Peterson, 3B/OF OAK, 1 year at 0.41 per year
Dylan Lee, RP ATL, 1 year at 0.40 per year
Tommy Kahnle, RP NYY, 1 year at 0.40 per year

[b]TB[/b]
Jalen Beeks, RP TB, 2 years at 0.40 per year
Collin McHugh, RP ATL, 1 year at 0.43 per year

[b]BOS[/b]
Luke Voit, 1B MIL, 2 years at 0.87 per year
Joe Kelly, RP CWS, 2 years at 0.44 per year

[b]TOR[/b]
Edmundo Sosa, 3B/SS PHI, 1 year at 0.80 per year

[b]SEA[/b]
Aaron Bummer, RP CWS, 1 year at 0.40 per year

