[b]TB[/b]
Nick Senzel, OF CIN, 3 years at 2.50 per year
Keston Hiura, 2B MIL, 3 years at 1.00 per year
Tony Santillan, RP CIN, 3 years at 0.40 per year
Robert Stephenson, RP PIT, 3 years at 0.40 per year

[b]SEA[/b]
Luis Urias, 2B/3B/SS MIL, 5 years at 5.00 per year
Eric Hosmer, 1B CHC, 1 year at 0.40 per year
Andrew McCutchen, OF PIT, 1 year at 1.00 per year

[b]PIT[/b]
Jordan Montgomery, SP STL, 2 years at 6.26 per year
Jake Fraley, OF CIN, 4 years at 0.81 per year
Peter Strzelecki, RP MIL, 1 year at 0.61 per year

[b]DET[/b]
Giovanny Gallegos, RP STL, 1 year at 2.75 per year
Brad Boxberger, RP CHC, 1 year at 1.25 per year

[b]NYY[/b]
Adam Wainwright, SP STL, 3 years at 5.25 per year (4.50, 4.85, 6.40)
Miles Mikolas, SP STL, 2 years at 5.00 per year
Nolan Arenado, 3B STL, 3 years at 15.00 per year (14.00, 15.00, 16.00)
Paul Goldschmidt, 1B STL, 3 years at 15.00 per year (14.00, 15.00, 16.00)
Carlos Santana, 1B PIT, 1 year at 1.75 per year
Drew Smyly, SP CHC, 1 year at 2.00 per year
Adrian Sampson, SP CHC, 1 year at 0.85 per year

[b]LAD[/b]
Lars Nootbaar, OF STL, 5 years at 4.80 per year

[b]NYM[/b]
Ryan Helsley, RP STL, 2 years at 7.50 per year (8.00, 7.00)

[b]PHI[/b]
Joey Votto, 1B CIN, 1 year at 3.50 per year

[b]ATL[/b]
Luis Cessa, RP CIN, 1 year at 0.80 per year
Ji-Man Choi, 1B PIT, 1 year at 0.50 per year

[b]CLE[/b]
Steven Matz, SP STL, 2 years at 3.76 per year

[b]KC[/b]
Tyrone Taylor, OF MIL, 1 year at 0.52 per year
Rodolfo Castro, 2B PIT, 3 years at 1.02 per year

[b]BOS[/b]
Jose Quintana, SP STL, 1 year at 1.78 per year

[b]ARZ[/b]
Rich Hill, SP PIT, 1 year at 1.80 per year
Vince Velazquez, RP PIT, 1 year at 1.55 per year
Wade Miley, SP MIL, 1 year at 2.00 per year

[b]SD[/b]
Matt Bush, RP MIL, 1 year at 0.73 per year

