[b]TB[/b]
Victor Robles, OF WAS, 2 years at 0.75 per year
Jorge Soler, OF MIA, 2 years at 2.00 per year

[b]NYY[/b]
Tanner Scott, RP MIA, 1 year at 0.75 per year
Jose Quintana, SP NYM, 1 year at 4.00 per year

[b]BOS[/b]
Bryce Harper, U PHI, 3 years at 13.97 per year (11.47, 15.00, 15.44)
Jean Segura, 2B MIA, 1 year at 1.18 per year
Nick Fortes, C MIA, 3 years at 0.49 per year
Joey Wendle, 2B MIA, 1 year at 0.81 per year
David Robertson, RP NYM, 1 year at 1.27 per year
Jose Alvarado, RP PHI, 2 years at 1.08 per year
Joe Jimenez, RP ATL, 2 years at 1.08 per year
Lane Thomas, OF WAS, 1 year at 0.67 per year

[b]LAD[/b]
Aaron Nola, SP PHI, 1 year at 11.80 per year
Zack Wheeler, SP PHI, 1 year at 11.80 per year
Kodai Senga, SP NYM, 1 year at 10.80 per year

[b]SEA[/b]
Nick Castellanos, OF PHI, 1 year at 7.50 per year
Travis d'Arnaud, C ATL, 1 year at 3.00 per year
Mark Canha, OF NYM, 1 year at 1.00 per year
Avisail Garcia, OF MIA, 1 year at 0.40 per year

[b]NYM[/b]
Eduardo Escobar, 3B NYM, 1 year at 0.65 per year
Tommy Pham, OF NYM, 1 year at 0.40 per year

[b]DET[/b]
Jon Berti, 2B MIA, 2 years at 2.50 per year (2.00, 3.00)
Edwin Diaz, RP NYM, 2 years at 9.00 per year (8.00, 10.00)
Raisel Iglesias, RP ATL, 2 years at 7.00 per year (6.00, 8.00)

[b]OAK[/b]
Bryan de la Cruz, OF MIA, 5 years at 1.70 per year (1.36, 1.36, 1.70, 2.04, 2.04)
JT Realmuto, C PHI, 2 years at 6.25 per year

[b]KC[/b]
Max Scherzer, SP NYM, 1 year at 10.02 per year
Kyle Finnegan, RP WAS, 1 year at 4.02 per year

[b]CLE[/b]
Patrick Corbin, SP WAS, 1 year at 0.60 per year
Collin McHugh, RP ATL, 1 year at 0.45 per year
Dominic Smith, 1B WAS, 2 years at 0.45 per year
Hunter Harvey, RP WAS, 2 years at 0.45 per year

[b]PHI[/b]
Gregory Soto, RP PHI, 1 year at 2.50 per year

[b]WAS[/b]
Taijuan Walker, SP PHI, 1 year at 5.00 per year
Johnny Cueto, SP MIA, 1 year at 3.00 per year
Connor Brogdon, RP PHI, 3 years at 0.50 per year

[b]ATL[/b]
Adam Ottavino, RP NYM, 1 year at 0.50 per year
Jeimer Candelario, 3B WAS, 1 year at 0.75 per year
Josh Harrison, 2B PHI, 1 year at 0.40 per year
Carl Edwards, RP WAS, 1 year at 0.40 per year

[b]TOR[/b]
Dylan Floro, RP MIA, 2 years at 3.90 per year
Bailey Falter, SP PHI, 5 years at 2.30 per year

[b]PIT[/b]
Matt Barnes, RP MIA, 1 year at 0.41 per year
Andrew Bellatti, RP PHI, 1 year at 0.41 per year

[b]CHC[/b]
Eddie Rosario, OF ATL, 2 years at 2.78 per year

