[b]DET[/b]
Mark Melancon, RP ARZ, 1 year at 3.00 per year
Wilmer Flores, 2B SF, 1 year at 0.75 per year

[b]LAD[/b]
LaMonte Wade, 1B SF, 3 years at 0.42 per year

[b]PIT[/b]
Merrill Kelly, SP ARZ, 1 year at 3.81 per year

[b]NYM[/b]
Alex Reyes, RP LAD, 3 years at 0.42 per year

[b]CLE[/b]
Alex Cobb, SP SF, 1 year at 6.27 per year
Jake Junis, SP SF, 1 year at 1.10 per year

[b]ARZ[/b]
Joc Pederson, OF SF, 1 year at 5.00 per year
Chris Taylor, OF LAD, 1 year at 1.60 per year

[b]TB[/b]
Caleb Ferguson, RP LAD, 3 years at 1.00 per year
Miguel Castro, RP ARZ, 2 years at 0.55 per year

[b]SEA[/b]
Zach Davies, RP ARZ, 1 year at 0.40 per year
Jose Urena, RP COL, 1 year at 0.40 per year

[b]WAS[/b]
Michael Wacha, SP SD, 2 years at 3.00 per year

[b]SD[/b]
Joe Mantiply, RP ARZ, 1 year at 1.43 per year
Luis Garcia, RP SD, 1 year at 0.73 per year
Austin Gomber, SP COL, 1 year at 0.43 per year
Brandon Crawford, SS SF, 1 year at 0.93 per year

[b]ATL[/b]
Daniel Bard, RP COL, 1 year at 7.00 per year
Robert Suarez, RP SD, 3 years at 2.50 per year
Carson Kelly, C ARZ, 1 year at 1.70 per year
Randal Grichuk, OF COL, 1 year at 1.00 per year

[b]TOR[/b]
Jake McCarthy, OF ARZ, 5 years at 6.30 per year
JD Davis, 3B SF, 2 years at 2.60 per year
JD Martinez, OF LAD, 1 year at 5.80 per year
Alex Vesia, RP LAD, 4 years at 2.10 per year
Brent Suter, RP COL, 2 years at 0.60 per year

[b]CHC[/b]
Josh Hader, RP SD, 2 years at 10.25 per year
Ross Stripling, SP SF, 2 years at 4.09 per year
Evan Phillips, RP LAD, 1 year at 3.96 per year
Kris Bryant, OF COL, 3 years at 6.95 per year
Ketel Marte, 2B ARZ, 2 years at 8.50 per year
Clayton Kershaw, SP LAD, 1 year at 7.99 per year
Seth Lugo, RP SD, 1 year at 2.93 per year
Anthony Desclafani, SP SF, 1 year at 2.75 per year
Matt Carpenter, DH SD, 1 year at 1.99 per year
Madison Bumgarner, SP ARZ, 1 year at 1.99 per year
Pierce Johnson, RP COL, 1 year at 1.99 per year
John Brebbia, RP SF, 1 year at 2.75 per year
Charlie Blackmon, OF COL, 1 year at 2.20 per year
Trayce Thompson, OF LAD, 1 year at 1.89 per year
Nelson Cruz, DH SD, 1 year at 1.89 per year
Drew Pomeranz, RP SD, 1 year at 0.43 per year
Steven Wilson, RP SD, 1 year at 0.41 per year

