[b]CLE[/b]
Jesse Winker, OF Sea , 3 years at 1.80 per year

[b]ATL[/b]
Ahmed Rosario, SS/OF Cle , 3 years at 7.50 per year

[b]TB[/b]
Lucas Giolito, SP ChW , 4 years at 7.00 per year
Walker Buehler, SP LAD , 5 years at 9.00 per year (4.00, 9.00, 12.00, 10.00, 10.00)
Gleyber Torres, 2B NYY , 4 years at 7.50 per year (8.00, 8.00, 7.00, 7.00)
Harrison Bader, OF NYY , 3 years at 5.00 per year
Yoan Moncada, 3B ChW , 4 years at 5.00 per year
Mike Soroka, SP Atl , 4 years at 6.00 per year
John Means, SP Bal , 3 years at 4.00 per year

[b]BOS[/b]
Mitch Garver, C Tex , 5 years at 0.72 per year

[b]WAS[/b]
Austin Meadows, OF Det , 3 years at 3.00 per year

