Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order
ARZ,"Mauricio Dubon, SS HOU",1,0.4,,,,,,1
ARZ,"Nick Ahmed, SS ARZ",1,0.4,,,,,,1
NYM,"Steven Wilson, RP SD",1,0.88,,,,,,2
NYM,"Franchy Cordero, 1B/OF NYY",1,0.77,,,,,,2
NYM,"Bryan Baker, RP BAL",1,0.75,,,,,,2
SEA,"Jesse Chavez, RP ATL",1,0.4,,,,,,3
SEA,"Steven Wilson, RP SD",1,0.4,,,,,,3
ATL,"Franchy Cordero, 1B/OF NYY",1,0.5,,,,,,4
TB,"Franchy Cordero, 1B/OF NYY",1,1.04,,,,,,5
TB,"Mauricio Dubon, SS HOU",1,0.63,,,,,,5
TB,"Kevin Kiermaier, OF TOR",1,0.55,,,,,,5
TB,"Ryan Jeffers, C MIN",1,0.41,,,,,,5
KC,"Bobby Dalbec, 3B BOS",1,0.52,,,,,,6
KC,"Mauricio Dubon, SS HOU",1,0.42,,,,,,6
OAK,"Franchy Cordero, 1B/OF NYY",1,0.65,,,,,,7
TOR,"Josh Winckowski, SP BOS",1,0.45,,,,,,8
PIT,"Franchy Cordero, 1B/OF NYY",1,0.41,,,,,,9
PIT,"Jesse Chavez, RP ATL",1,0.41,,,,,,9
PIT,"Steven Wilson, RP SD",1,0.41,,,,,,9
PIT,"Trevor Gott, RP SEA",1,0.41,,,,,,9
