Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order
LAD,"Harold Castro, 3B COL",2,0.4,,,,,,1
ARZ,"Matt Moore, RP LAA",1,0.5,,,,,,2
ARZ,"Jose Cisneros, RP DET",1,0.45,,,,,,2
ARZ,"Trevor WIlliams, SP WAS",1,0.5,,,,,,2
ARZ,"Josh Fleming, SP TB",1,0.7,,,,,,2
ARZ,"Matt Strahm, SP KC",1,1,,,,,,2
ARZ,"Chris Taylor, 2B LAD",1,1,,,,,,2
ARZ,"Cavan BIggio, 2B TOR",1,0.4,,,,,,2
ARZ,"Matt Carpenter, OF SD",1,1,,,,,,2
ARZ,"Andrew McCutchen, OF PIT",1,1,,,,,,2
OAK,"Luke Voit, 1B MIL",2,0.48,,,,,,3
OAK,"Jace Peterson, 3B/OF OAK",1,0.41,,,,,,3
OAK,"Andrew McCutchen, OF PIT",1,0.42,,,,,,3
OAK,"Edmundo Sosa, 3B/SS PHI",4,0.45,,,,,,3
OAK,"Dylan Lee, RP ATL",1,0.4,,,,,,3
OAK,"Tommy Kahnle, RP NYY",1,0.4,,,,,,3
LAD,"Gio Urshela, 3B LAA",2,0.42,,,,,,4
TB,"Chris Taylor, 2B LAD",1,0.48,,,,,,5
TB,"Jalen Beeks, RP TB",2,0.4,,,,,,5
TB,"Collin McHugh, RP ATL",1,0.43,,,,,,5
BOS,"Luke Voit, 1B MIL",2,0.87,,,,,,6
BOS,"Joe Kelly, RP CWS",2,0.44,,,,,,6
TOR,"Edmundo Sosa, 3B/SS PHI",1,0.8,,,,,,7
TOR,"Matt Strahm, SP KC",1,0.5,,,,,,7
SEA,"Trevor WIlliams, SP WAS",1,0.4,,,,,,8
SEA,"Aaron Bummer, RP CWS",1,0.4,,,,,,8
