Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,,,
TB,"Victor Robles, OF WAS",2,0.75,,,,,,1,,,
TB,"Bryan de la Cruz, OF MIA",3,1.25,,,,,,1,,,
TB,"Jorge Soler, OF MIA",2,2,,,,,,1,,,
TB,"Eddie Rosario, OF ATL",1,2.25,,,,,,1,,,
NYY,"Aaron Nola, SP PHI",3,9,,,,,,2,,,
NYY,"Zack Wheeler, SP PHI",2,9,,,,,,2,,,
NYY,"Tanner Scott, RP MIA",1,0.75,,,,,,2,,,
BOS,"Bryce Harper, U PHI",3,10.49,8.4,11.53,11.54,,,3,,0.8007626311,1.100095329
BOS,"Nick Castellanos, OF PHI",2,4.78,,,,,,3,,,
BOS,"Travis d'Arnaud, C ATL",1,0.53,,,,,,3,,,
BOS,"Jean Segura, 2B MIA",1,1.18,,,,,,3,,,
BOS,"Jon Berti, 2B MIA",1,0.58,,,,,,3,,,
BOS,"Nick Fortes, C MIA",3,0.49,,,,,,3,,,
BOS,"Joey Wendle, 2B MIA",1,0.81,,,,,,3,,,
BOS,"Max Scherzer, SP NYM",2,8.17,,,,,,3,,,
BOS,"Aaron Nola, SP PHI",2,10.87,9,12.74,,,,3,,0.8279668813,1.172033119
BOS,"Zack Wheeler, SP PHI",2,9.17,8,10.34,,,,3,,0.8724100327,1.127589967
BOS,"Kodai Senga, SP NYM",3,4.37,,,,,,3,,,
BOS,"Taijuan Walker, SP PHI",3,3.78,,,,,,3,,,
BOS,"Edwin Diaz, RP NYM",1,4.51,,,,,,3,,,
BOS,"Raisel Iglesias, RP ATL",1,2.71,,,,,,3,,,
BOS,"Dylan Floro, RP MIA",1,1.67,,,,,,3,,,
BOS,"David Robertson, RP NYM",1,1.27,,,,,,3,,,
BOS,"Adam Ottavino, RP NYM",1,0.4,,,,,,3,,,
BOS,"Jose Alvarado, RP PHI",2,1.08,,,,,,3,,,
BOS,"Joe Jimenez, RP ATL",2,1.08,,,,,,3,,,
LAD,"Aaron Nola, SP PHI",1,11.8,,,,,,4,,,
LAD,"Zack Wheeler, SP PHI",1,11.8,,,,,,4,,,
SEA,"Kyle Finnegan, RP WAS",1,3,,,,,,5,,,
SEA,"Raisel Iglesias, RP ATL",1,5,,,,,,5,,,
SEA,"Edwin Diaz, RP NYM",3,7,,,,,,5,,,
SEA,"Max Scherzer, SP NYM",1,5,,,,,,5,,,
SEA,"Kodai Senga, SP NYM",1,1,,,,,,5,,,
SEA,"Aaron Nola, SP PHI",2,8,,,,,,5,,,
SEA,"Zack Wheeler, SP PHI",1,5,,,,,,5,,,
SEA,"Taijuan Walker, SP PHI",1,4,,,,,,5,,,
SEA,"Johnny Cueto, SP MIA",1,0.4,,,,,,5,,,
SEA,"Patrick Corbin, SP WAS",1,0.4,,,,,,5,,,
SEA,"Mark Canha, OF NYM",1,1,,,,,,5,,,
SEA,"Jose Quintana, SP NYM",1,0.4,,,,,,5,,,
SEA,"Eduardo Escobar, 3B NYM",1,0.4,,,,,,5,,,
SEA,"JT Realmuto, C PHI",1,6,,,,,,5,,,
SEA,"Nick Castellanos, OF PHI",1,7.5,,,,,,5,,,
SEA,"Travis d'Arnaud, C ATL",1,3,,,,,,5,,,
SEA,"Eddie Rosario, OF ATL",1,0.4,,,,,,5,,,
SEA,"Jean Segura, 2B MIA",1,0.4,,,,,,5,,,
SEA,"Jorge Soler, OF MIA",1,1,,,,,,5,,,
SEA,"Avisail Garcia, OF MIA",1,0.4,,,,,,5,,,
NYM,"JT Realmuto, C PHI",3,4.6,,,,,,6,,,
