Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order
DET,"Josh Hader, RP SD",2,7,,,,,,1
DET,"Mark Melancon, RP ARZ",1,3,,,,,,1
DET,"Daniel Bard, RP COL",1,3,,,,,,1
NYY,"Alex Cobb, SP SF",1,4,,,,,,2
NYY,"Ross Stripling, SP SF",1,2.15,,,,,,2
NYY,"Evan Phillips, RP LAD",3,1.25,,,,,,2
NYY,"Jake McCarthy, OF ARZ",3,0.85,,,,,,2
DET,"Kris Bryant, OF COL",1,4,,,,,,3
DET,"Joc Pederson, OF SF",3,1.5,,,,,,3
DET,"Wilmer Flores, 2B SF",1,0.75,,,,,,3
LAD,"LaMonte Wade, 1B SF",3,0.42,,,,,,4
LAD,"JD Davis, 3B SF",3,0.42,,,,,,4
LAD,"Ketel Marte, 2B ARZ",3,1.2,,,,,,4
LAD,"Jake McCarthy, OF ARZ",5,0.42,,,,,,4
LAD,"Kris Bryant, OF COL",2,2.4,,,,,,4
LAD,"Joc Pederson, OF SF",2,0.4,,,,,,4
LAD,"JD Martinez, OF LAD",2,1.5,,,,,,4
LAD,"Merrill Kelly, SP ARZ",2,1.1,,,,,,4
LAD,"Clayton Kershaw, SP LAD",1,3.2,,,,,,4
LAD,"Seth Lugo, RP SD",2,0.43,,,,,,4
LAD,"Anthony Desclafani, SP SF",3,0.62,,,,,,4
LAD,"Alex Cobb, SP SF",3,0.62,,,,,,4
LAD,"Ross Stripling, SP SF",3,0.62,,,,,,4
LAD,"Joe Mantiply, RP ARZ",2,0.4,,,,,,4
LAD,"Evan Phillips, RP LAD",2,0.4,,,,,,4
LAD,"Robert Suarez, RP SD",2,0.4,,,,,,4
LAD,"Luis Garcia, RP SD",2,0.4,,,,,,4
PIT,"Ketel Marte, 2B ARZ",1,4.76,,,,,,5
PIT,"Clayton Kershaw, SP LAD",1,4.31,,,,,,5
PIT,"Merrill Kelly, SP ARZ",1,3.81,,,,,,5
PIT,"Ross Stripling, SP SF",1,3.21,,,,,,5
PIT,"Alex Cobb, SP SF",1,2.81,,,,,,5
PIT,"Josh Hader, RP SD",1,6.26,,,,,,5
PIT,"Daniel Bard, RP COL",1,3.76,,,,,,5
PIT,"Evan Phillips, RP LAD",1,1.76,,,,,,5
PIT,"Alex Vesia, RP LAD",5,0.75,,,,,,5
PIT,"Robert Suarez, RP SD",1,0.61,,,,,,5
PIT,"Luis Garcia, RP SD",1,0.61,,,,,,5
PIT,"Joe Mantiply, RP ARZ",1,0.61,,,,,,5
PIT,"Mark Melancon, RP ARZ",1,0.61,,,,,,5
NYM,"Kris Bryant, OF COL",2,4.5,,,,,,6
