[b]DET[/b]
Cionel Perez, RP BAL, 1 year at 0.55 per year
Kyle Hendricks, SP CHC, 1 year at 0.73 per year

[b]KC[/b]
Eddie Rosario, OF WAS, 1 year at 0.62 per year

[b]BOS[/b]
Tim Herrin, RP CLE, 1 year at 0.43 per year
Jared Koenig, SP/RP MIL, 1 year at 0.40 per year

[b]TB[/b]
Yasmani Grandal, C PIT, 1 year at 0.40 per year
Anthony Bender, RP MIA, 1 year at 0.40 per year
Sam Hentges, RP CLE, 1 year at 0.40 per year

[b]ARZ[/b]
John Brebbia, RP CWS, 1 year at 1.00 per year
Jalen Beeks, RP COL, 1 year at 0.45 per year
Caleb Thielbar, RP MIN, 1 year at 0.45 per year
Dylan Moore, 2B SEA, 1 year at 0.42 per year
Kenta Maeda, 1 year at 0.41 per year

