[b]TB[/b]
Bobby Dalbec, 1B BOS, 2 years at 0.61 per year
Kevin Kiermaier, OF TOR, 1 year at 0.77 per year
Corbin Burnes, SP BAL, 3 years at 22.30 per year (20.90, 22.00, 24.00)
Carlos Rodon, SP NYY, 2 years at 15.50 per year
Dillon Tate, RP BAL, 3 years at 0.50 per year
Jonathan Loaisiga, RP NYY, 2 years at 0.75 per year

[b]BOS[/b]
Justin Turner, 1B/2B TOR, 5 years at 4.17 per year (3.50, 3.50, 4.17, 4.84, 4.84)
Shawn Armstrong, SP/RP TB, 1 year at 0.45 per year
DJ LeMahieu, 1B/3B NYY, 5 years at 0.88 per year

[b]ARZ[/b]
Yimi Garcia, RP TOR, 1 year at 1.90 per year

[b]SEA[/b]
Anthony Rizzo, 1B NYY, 1 year at 4.00 per year
Dean Kremer, SP BAL, 3 years at 4.00 per year
Masataka Yoshida, OF BOS, 1 year at 5.00 per year
Danny Jansen, C TOR, 3 years at 2.00 per year

[b]ATL[/b]
Trevor Story, SS BOS, 1 year at 6.00 per year
Whit Merrifield, 2B OF PHI, 1 year at 1.00 per year

[b]LAD[/b]
Yariel Rodriguez, SP TOR, 5 years at 2.90 per year
Naoyukui Uwasawa, SP TB, 5 years at 0.42 per year
Scott Effross, RP NYY, 5 years at 0.40 per year

[b]DET[/b]
Chris Bassitt, SP TOR, 2 years at 6.50 per year
Jose Trevino, C NYY, 1 year at 0.40 per year

[b]NYY[/b]
Rene Pinto, C TB, 1 year at 0.55 per year
Harold Ramirez, OF TB, 2 years at 1.75 per year

[b]OAK[/b]
Jeffrey Springs, SP TB, 4 years at 5.05 per year (6.05, 4.05, 4.05, 6.05)
Yandy Diaz, 1B TB, 2 years at 6.35 per year (7.62, 5.08)

[b]NYM[/b]
Jose Caballero, 2B/SS TB, 4 years at 0.79 per year (0.65, 0.65, 0.93, 0.93)

[b]KC[/b]
Giancarlo Stanton, OF NYY, 3 years at 5.52 per year
Pete Fairbanks, RP TB, 1 year at 9.52 per year

[b]TOR[/b]
Erik Swanson, RP TOR, 3 years at 1.30 per year

[b]WAS[/b]
Drew Rasmussen, SP TB, 3 years at 5.67 per year (5.00, 6.00, 6.00)

[b]CHC[/b]
Tommy Kahnle, RP NYY, 1 year at 1.75 per year
Danny Coulombe, RP BAL, 2 years at 0.89 per year
Chris Martin, RP BOS, 1 year at 3.64 per year
Kutter Crawford, SP BOS, 3 years at 3.99 per year
Ryan O'Hearn, 1B BAL, 1 year at 1.65 per year
Phil Maton, RP TB, 1 year at 0.51 per year
Chad Green, RP TOR, 2 years at 0.89 per year
Tim Mayza, RP TOR, 1 year at 0.75 per year
Caleb Ferguson, RP NYY, 1 year at 0.42 per year
Cavan Biggio, 1B/2B/3B/OF TOR, 2 years at 0.41 per year

