Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order
PIT,"Cionel Perez, RP BAL",1,0.41,,,,,,1
DET,"John Brebbia, RP CWS",1,0.55,,,,,,2
DET,"Cionel Perez, RP BAL",1,0.55,,,,,,2
KC,"Eddie Rosario, OF WAS",1,0.62,,,,,,3
BOS,"Tim Herrin, RP CLE",1,0.43,,,,,,4
BOS,"Jared Koenig, SP/RP MIL",1,0.4,,,,,,4
TB,"Yasmani Grandal, C PIT",1,0.4,,,,,,5
TB,"Anthony Bender, RP MIA",1,0.4,,,,,,5
TB,"Sam Hentges, RP CLE",1,0.4,,,,,,5
BOS,"John Brebbia, RP CWS",1,0.63,,,,,,6
DET,"Kyle Hendricks, SP CHC",1,0.73,,,,,,7
ARZ,"Jalen Beeks, RP COL",1,0.45,,,,,,8
ARZ,"John Brebbia, RP CWS",1,1,,,,,,8
ARZ,"Caleb Thielbar, RP MIN",1,0.45,,,,,,
ARZ,"Dylan Moore, 2B SEA",1,0.42,,,,,,
ARZ,Kenta Maeda,1,0.41,,,,,,
WAS,"Kyle Hendricks, SP CHC",1,0.6,,,,,,
