Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order
DET,"Marcus Semien, 2B TEX",3,12,11,13,12,,,1
DET,"Jose Altuve, 2B HOU",1,5,,,,,,1
DET,"Brandon Drury, 1B/2B LAA",2,4.5,,,,,,1
DET,"Jose Leclerc, RP TEX",1,5.1,,,,,,1
DET,"Carlos Estevez, RP LAA",1,5.1,,,,,,1
DET,"Dane Dunning, SP TEX",3,3.5,,,,,,1
DET,"Max Scherzer, SP TEX",1,0.4,,,,,,1
DET,"Jacob DeGrom, SP TEX",5,1,,,,,,1
BOS,"Carlos Estevez, RP LAA",1,3.17,,,,,,2
SEA,"Marcus Semien, 2B TEX",1,7,,,,,,3
SEA,"Nathan Eovaldi, SP TEX",1,5,,,,,,3
SEA,"Dane Dunning, SP TEX",2,3,,,,,,3
SEA,"Carlos Estevez, RP LAA",1,5,,,,,,3
SEA,"Patrick Sandoval, SP LAA",4,3,,,,,,3
SEA,"Cal Raleigh, C SEA",4,4,,,,,,3
SEA,"Jose Altuve, 2B HOU",1,7,,,,,,3
SEA,"Josh Hader, RP HOU",2,10,,,,,,3
SEA,"Ryan Pressly, RP HOU",1,1,,,,,,3
SEA,"Jose Abreu, 1B HOU",1,1,,,,,,3
SEA,"Ross Stripling, SP OAK",1,0.4,,,,,,3
SEA,"Alex Wood, SP OAK",1,0.4,,,,,,3
PIT,"Marcus Semien, 2B TEX",1,12.61,,,,,,4
PIT,"Jose Altuve, 2B HOU",1,12.61,,,,,,4
PIT,"Josh Hader, RP HOU",2,10.26,,,,,,4
PIT,"Nathan Eovaldi, SP TEX",1,3.76,,,,,,4
PIT,"Jose Leclerc, RP TEX",1,4.26,,,,,,4
PIT,"Max Scherzer, SP TEX",1,2.26,,,,,,4
PIT,"Carlos Estevez, RP LAA",1,3.76,,,,,,4
PIT,"Patrick Sandoval, SP LAA",4,2.26,,,,,,4
PIT,"Dane Dunning, SP TEX",3,2.26,,,,,,4
PIT,"Ryan Pressly, RP HOU",1,0.76,,,,,,4
PIT,"David Roberston, RP TEX",1,0.61,,,,,,4
PIT,"Kirby Yates, RP TEX",1,0.61,,,,,,4
PIT,"Lance McCullers, SP HOU",3,2.76,,,,,,4
ARZ,"Robert Stephenson, RP LAA",1,1,,,,,,5
ARZ,"Carlos Estevez, RP LAA",1,2,,,,,,5
ARZ,"Ryan Pressly, RP HOU",1,1.5,,,,,,5
ARZ,"Josh Hader, RP HOU",1,6,,,,,,5
ARZ,"Jose Leclerc, RP TEX",1,6,,,,,,5
ARZ,"Taylor Ward, OF LAA",1,3.55,,,,,,5
ARZ,"Brent Rooker, OF OAK",1,2,,,,,,5
ARZ,"Seth Brown, OF OAK",1,1.3,,,,,,5
ARZ,"Nathan Eovaldi, SP TEX",1,5,,,,,,5
ARZ,"Max Scherzer, SP TEX",3,2.3,,,,,,5
ARZ,"Patrick Sandoval, SP LAA",1,1.2,,,,,,5
ARZ,"Jacob DeGrom, SP TEX",3,2,,,,,,5
NYM,"Marcus Semien, 2B TEX",5,10.77,8.7,8.7,10.77,12.84,12.84,6
NYM,"Jose Altuve, 2B HOU",4,8.66,7,7,10.32,10.32,,6
NYM,"Taylor Ward, OF LAA",5,4.27,3.5,3.5,4.27,5.04,5.04,6
NYM,"Jose Abreu, 1B HOU",1,0.55,,,,,,6
NYM,"Brandon Drury, 1B/2B LAA",3,1.5,1.3,1.5,1.7,,,6
NYM,"Brent Rooker, OF OAK",3,0.57,,,,,,6
NYM,"Anthony Rendon, 3B LAA",2,0.55,,,,,,6
NYM,"Nathan Eovaldi, SP TEX",3,3.5,3,3.5,4,,,6
NYM,"Jacob DeGrom, SP TEX",5,8.11,9.7,6.5,6.5,8.2,9.65,6
NYM,"Max Scherzer, SP TEX",2,2.5,2,3,,,,6
NYM,"Robert Stephenson, RP LAA",2,2.5,2,3,,,,6
NYM,"Patrick Sandoval, SP LAA",3,1.1,,,,,,6
NYM,"Dane Dunning, SP TEX",3,0.66,,,,,,6
NYM,"Tyler Anderson, SP LAA",1,0.4,,,,,,6
