[b]OAK[/b]
Joey Bart, C PIT, 2 years at 1.44 per year
Christian Yelich, OF MIL, 2 years at 7.10 per year (5.70, 8.50)

[b]TB[/b]
Bailey Falter, SP PIT, 2 years at 1.88 per year
Nate Pearson, RP CHC, 3 years at 0.41 per year

[b]PHI[/b]
JoJo Romero, RP STL, 3 years at 0.52 per year
Jack Suwinski, OF PIT, 5 years at 0.48 per year
Emilio Pagan, RP CIN, 2 years at 0.55 per year

[b]DET[/b]
Jameson Taillon, SP CHC, 1 year at 4.10 per year

[b]ATL[/b]
Tommy Pham, OF PIT, 1 year at 0.50 per year
Miles Mikolas, SP STL, 1 year at 2.00 per year
Dennis Santana RP PIT, 2 years at 0.90 per year
Ryan Fernandez, RP STL, 3 years at 0.60 per year
Kyle Gibson, SP FA, 1 year at 1.00 per year

[b]NYY[/b]
Alec Burleson, 1B/OF STL, 4 years at 6.65 per year
Matthew Boyd, SP CHC, 3 years at 3.54 per year
Steven Matz, SP STL, 1 year at 0.85 per year
Johan Oviedo, SP PIT, 2 years at 0.85 per year
Aaron Ashby, RP MIL, 3 years at 1.12 per year
Isiah Kiner-Falefa, 2B/3B/SS PIT, 1 year at 0.75 per year
Austin Hays, OF CIN, 1 year at 0.75 per year

[b]ARZ[/b]
Willson Contreras, C STL, 1 year at 7.00 per year
Nick Mears, RP MIL, 3 years at 0.50 per year
Nick Martinez, RP CIN, 1 year at 3.50 per year

[b]SEA[/b]
Freddy Peralta, SP MIL, 3 years at 8.00 per year
Andre Pallante, RP STL, 5 years at 2.00 per year

[b]BOS[/b]
Miguel Amaya, C CHC, 3 years at 1.78 per year
Rhys Hoskins, 1B MIL, 1 year at 3.77 per year
Joel Payamps, RP MIL, 2 years at 0.87 per year

[b]LAD[/b]
Graham Ashcraft, SP CIN, 5 years at 0.40 per year
Elvin Rodriguez, RP MIL, 5 years at 0.40 per year

[b]CLE[/b]
Shota Imanaga, SP CHC, 2 years at 8.86 per year (7.71, 10.00)
Justin Steele, SP CHC, 2 years at 7.77 per year
Sonny Gray, SP CIN, 2 years at 7.79 per year
Tony Santillan, RP CIN, 3 years at 1.16 per year
Bryan Hudson, RP MIL, 1 year at 0.55 per year
Jared Koenig, RP MIL, 1 year at 0.55 per year
Taylor Rogers, RP CIN, 1 year at 0.51 per year
Jojo Romero, RP STL, 1 year at 0.51 per year

[b]KC[/b]
Ryan Helsley, RP STL, 1 year at 9.52 per year
Ryan Pressly, RP CHC, 1 year at 7.02 per year
Lance Lynn, SP FA, 3 years at 1.02 per year

[b]PIT[/b]
Seiya Suzuki, OF CHC, 3 years at 6.26 per year

