Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,,Min,Max,MinRange,MaxRange,IsValid
BOS,"Paul Goldschmidt, 1B NYY",2,5.19,4.5,5.88,,,,1,,4.5,5.88,4.152,6.228,TRUE
BOS,"Nolan Arenado, 3B STL",2,5.17,,,,,,1,,,,,,
BOS,"Kutter Crawford, SP BOS",3,2.17,,,,,,1,,,,,,
BOS,"Walker Buehler, SP BOS",3,2.12,,,,,,1,,,,,,
BOS,"Tyler Glasnow, SP LAD",2,5.62,,,,,,1,,,,,,
BOS,"Jose Siri, OF NYM",3,0.4,,,,,,1,,,,,,
CHC,"Tyler Glasnow, SP LAD",3,5.59,,,,,,2,,,,,,
CHC,"Walker Buehler, SP BOS",3,3.79,,,,,,2,,,,,,
CHC,"Paul Goldschmidt, 1B NYY",1,1.2,,,,,,2,,,,,,
CHC,"Kutter Crawford, SP BOS",3,0.89,,,,,,2,,,,,,
CHC,"Luke Weaver, RP NYY",3,0.89,,,,,,2,,,,,,
CHC,"Jon Gray, SP TEX",2,0.65,,,,,,2,,,,,,
CHC,"Jake Irvin, SP WAS",4,1.09,,,,,,2,,,,,,
CHC,"Dane Dunning, SP/RP TEX",1,0.41,,,,,,2,,,,,,
CHC,"Tyler Rogers, RP SF",1,0.44,,,,,,2,,,,,,
CHC,"Evan Phillips, RP LAD",1,0.44,,,,,,2,,,,,,
CHC,"Clayton Kershaw, SP LAD",1,0.89,,,,,,2,,,,,,
COL,"Tyler Glasnow, SP LAD",2,5,,,,,,3,,,,,,
COL,"Otto Lopez, 2B MIA",1,0.5,,,,,,3,,,,,,
COL,"Matt Vierling, OF DET",1,2,,,,,,3,,,,,,
COL,"Nolan Arenado, 3B STL",1,1.5,,,,,,3,,,,,,
COL,"Jonah Bride, 1B MIA",1,2.5,,,,,,3,,,,,,
PHI,"Tyler Glasnow, SP LAD",2,7.7,,,,,,4,,,,,,
CLE,"Paul Goldschmidt, 1B NYY",1,2.69,,,,,,5,,,,,,
CLE,"Nolan Arenado, 3B STL",2,2.09,,,,,,5,,,,,,
CLE,"Josh Bell, 1B WAS",1,0.71,,,,,,5,,,,,,
CLE,"Tyler Glasnow, SP LAD",3,6.34,,,,,,5,,,,,,
CLE,"Walker Buehler, SP BOS",3,1.36,,,,,,5,,,,,,
CLE,"Clayton Kershaw, SP LAD",2,0.46,,,,,,5,,,,,,
CLE,"Kutter Crawford, SP BOS",3,1.25,,,,,,5,,,,,,
CLE,"Luke Weaver, RP NYY",1,0.47,,,,,,5,,,,,,
LAD,"Jose Tena, 3B WAS",5,0.4,,,,,,6,,,,,,
LAD,"Walker Buehler, SP BOS",5,1.7,,,,,,6,,,,,,
LAD,"Chase Silseth, SP LAA",5,2,,,,,,6,,,,,,
LAD,"Landen Roupp, RP SF",5,0.44,,,,,,6,,,,,,
LAD,"Kutter Crawford, SP BOS",5,2.2,,,,,,6,,,,,,
LAD,"Osvaldo Bido, SP SAC",5,0.44,,,,,,6,,,,,,
LAD,"Tyler Glasnow, SP LAD",5,4.2,,,,,,6,,,,,,
LAD,"Shinnosuke Ogasawara, SP WAS",5,0.4,,,,,,6,,,,,,
LAD,"Albert Suarez, SP BAL",2,0.4,,,,,,6,,,,,,
LAD,"Jake Irvin, SP WAS",5,0.44,,,,,,6,,,,,,
SEA,"Tyler Glasnow, SP LAD",1,4,,,,,,7,,,,,,
SEA,"Nolan Arenado, 3B STL",1,4,,,,,,7,,,,,,
SEA,"Walker Buehler, SP BOS",1,3,,,,,,7,,,,,,
SEA,"Paul Goldschmidt, 1B NYY",1,4,,,,,,7,,,,,,
NYY,"Walker Buehler, SP BOS",1,4.25,,,,,,8,,,,,,
NYY,"Jake Irvin, SP WAS",1,0.75,,,,,,8,,,,,,
NYY,"Patrick Bailey, C SF",1,0.85,,,,,,8,,,,,,
NYY,"Danny Jansen, C TB",1,0.74,,,,,,8,,,,,,
NYY,"Tyler Glasnow, SP LAD",1,4.75,,,,,,8,,,,,,
ARZ,"Walker Buehler, SP BOS",1,2.35,,,,,,9,,,,,,
ARZ,"Kutter Crawford, SP BOS",2,2.15,,,,,,9,,,,,,
ARZ,"Tyler Glasnow, SP LAD",1,10.1,,,,,,9,,,,,,
ARZ,"Clayton Kershaw, SP LAD",5,0.5,,,,,,9,,,,,,
ARZ,"Jon Gray, SP TEX",1,2,,,,,,9,,,,,,
ARZ,"Nolan Arenado, 3B STL",1,8.4,,,,,,9,,,,,,
ARZ,"Paul Goldschmidt, 1B NYY",1,7,,,,,,9,,,,,,
SD,"Luke Weaver, RP NYY",1,0.55,,,,,,10,,,,,,
SD,"Tyler Rogers, RP SF",1,0.45,,,,,,10,,,,,,
SD,Caleb Ferguson RP PIT,1,0.5,,,,,,10,,,,,,
SD,"Jose Siri, OF NYM",2,0.55,,,,,,10,,,,,,
SD,"Otto Lopez, 2B MIA",3,0.55,,,,,,10,,,,,,
SD,"Osvaldo Bido, SP SAC",3,0.5,,,,,,10,,,,,,
SD,"Paul Goldschmidt, 1B NYY",1,2.4,,,,,,10,,,,,,
TB,"Nolan Arenado, 3B STL",2,4.55,,,,,,11,,,,,,
TB,"Eloy Jimenez, DH TB",1,0.43,,,,,,11,,,,,,
TB,"Jorge Polanco, 2B SEA",1,0.41,,,,,,11,,,,,,
TB,"Josh Bell, 1B WAS",1,0.42,,,,,,11,,,,,,
TB,"Walker Buehler, SP BOS",2,4.75,,,,,,11,,,,,,
TB,"Luke Weaver, RP NYY",2,1.18,,,,,,11,,,,,,
TB,"Evan Phillips, RP LAD",2,0.96,,,,,,11,,,,,,
TB,"Jose Quijada, RP LAA",1,0.4,,,,,,11,,,,,,
TB,"Julian Merryweather, RP CHC",1,0.4,,,,,,11,,,,,,
TOR,"Paul Goldschmidt, 1B NYY",2,2.4,,,,,,12,,,,,,
TOR,"Tyler Glasnow, SP LAD",4,2.6,,,,,,12,,,,,,
TOR,"Walker Buehler, SP BOS",2,2.1,,,,,,12,,,,,,
ATL,"Tyler Glasnow, SP LAD",3,2.25,2,2.25,2.5,,,13,,2,2.5,1.8,2.7,TRUE
ATL,"Walker Buehler, SP BOS",3,2.25,2,2.25,2.5,,,13,,2,2.5,1.8,2.7,TRUE
ATL,"Kutter Crawford, SP BOS",1,0.75,,,,,,13,,,,,,
ATL,"Luke Weaver, RP NYY",3,0.8,,,,,,13,,,,,,
ATL,"Osvaldo Bido, SP SAC",1,0.4,,,,,,13,,,,,,
ATL,"Jon Gray, SP TEX",1,0.4,,,,,,13,,,,,,
ATL,"Jake Irvin, SP WAS",1,0.4,,,,,,13,,,,,,
WAS,"Nolan Arenado, 3B STL",1,4,,,,,,14,,,,,,
WAS,"Paul Goldschmidt, 1B NYY",1,1,,,,,,14,,,,,,
WAS,"Kutter Crawford, SP BOS",1,1,,,,,,14,,,,,,
WAS,"Walker Buehler, SP BOS",1,2,,,,,,14,,,,,,
WAS,"Tyler Glasnow, SP LAD",3,6,5,6,7,,,14,,5,7,4.8,7.2,TRUE
ATL,"Esteury Ruiz, OF SAC",1,0.45,,,,,,15,,,,,,
OAK,"Tyler Glasnow, SP LAD",2,6.1,5.1,7.1,,,,16,,5.1,7.1,4.88,7.32,TRUE
OAK,"Nolan Arenado, 3B STL",1,2.2,,,,,,16,,,,,,
OAK,"Paul Goldschmidt, 1B NYY",1,2.2,,,,,,16,,,,,,
OAK,"Luke Weaver, RP NYY",2,1.02,,,,,,16,,,,,,
