Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,,Min,Max,MinRange,MaxRange,IsValid
OAK,"JT Realmuto, C PHI",2,4.75,3.8,5.7,,,,1,,3.8,5.7,3.8,5.7,TRUE
OAK,"Matt Olson, 1B ATL",2,10.2,8.2,12.2,,,,1,,8.2,12.2,8.16,12.24,TRUE
OAK,"Pete Alonso, 1B NYM",2,8.57,6.86,10.28,,,,1,,6.86,10.28,6.856,10.284,TRUE
OAK,"Francisco Lindor, SS NYM",3,15.27,12.27,15.27,18.27,,,1,,12.27,18.27,12.216,18.324,TRUE
OAK,"Brandon Nimmo, OF NYM",1,2.4,,,,,,1,,,,,,
OAK,"Nick Castellanos, OF NYM",2,4.8,,,,,,1,,,,,,
OAK,"Jesus Sanchez, OF MIA",5,1.1,,,,,,1,,,,,,
OAK,"Jurickson Profar, OF ATL",2,2.9,,,,,,1,,,,,,
OAK,"Marcell Ozuna, DH ATL",1,7.4,,,,,,1,,,,,,
OAK,"Kyle Schwarber, DH ATL",2,8.6,,,,,,1,,,,,,
OAK,"Kodai Senga, SP NYM",3,4.95,,,,,,1,,,,,,
OAK,"Raisel Iglesias, RP ATL",1,6.36,,,,,,1,,,,,,
OAK,"Calvin Faucher, RP MIA",2,1.97,,,,,,1,,,,,,
OAK,"Matt Strahm, RP PHI",1,0.44,,,,,,1,,,,,,
OAK,"Jose Ferrer, RP WAS",5,0.77,,,,,,1,,,,,,
DET,"Francisco Lindor, SS NYM",1,7,,,,,,2,,,,,,
DET,"Matt Olson, 1B ATL",1,8,,,,,,2,,,,,,
DET,"Pete Alonso, 1B NYM",1,6,,,,,,2,,,,,,
DET,"Marcell Ozuna, DH ATL",1,4,,,,,,2,,,,,,
DET,"Kyle Schwarber, DH ATL",1,4,,,,,,2,,,,,,
DET,"Brandon Nimmo, OF NYM",1,1.8,,,,,,2,,,,,,
DET,"Ryne Stanek, RP NYM",1,0.5,,,,,,2,,,,,,
DET,"Jesus Tinoco, RP MIA",1,0.6,,,,,,2,,,,,,
DET,"Jose Alvarado, RP PHI",1,0.7,,,,,,2,,,,,,
ATL,"Francisco Lindor, SS NYM",3,9,,,,,,3,,,,,,
ATL,"Matt Olson, 1B ATL",1,11,,,,,,3,,,,,,
ATL,"Pete Alonso, 1B NYM",3,10.5,,,,,,3,,,,,,
