Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,,Min,Max,MinRange,MaxRange,IsValid
SEA,"Manny Machado, 3B SD",1,7,,,,,,1,,,,,,
SEA,"Dylan Cease, SP SD",2,8,,,,,,1,,,,,,
SEA,"Luis Arraez, 1B/2B SD",4,6,,,,,,1,,,,,,
SEA,"Ryan McMahon, 3B COL",1,3,,,,,,1,,,,,,
SEA,"Freddie Freeman, 1B LAD",1,7,,,,,,1,,,,,,
SEA,"Teoscar Hernandez, OF LAD",1,7,,,,,,1,,,,,,
SEA,"Tanner Scott, RP LAD",1,3,,,,,,1,,,,,,
SEA,"Kirby Yates, RP LAD",1,3,,,,,,1,,,,,,
SEA,"Roki Sasaki, SP LAD",5,3,,,,,,1,,,,,,
SEA,"Ketel Marte, 2B ARZ",1,9,,,,,,1,,,,,,
SEA,"Corbin Burnes, SP ARZ",1,9,,,,,,1,,,,,,
SEA,"Merrill Kelly, SP ARZ",1,3,,,,,,1,,,,,,
SEA,"Zac Gallen, SP ARZ",2,8,,,,,,1,,,,,,
SEA,"Willy Adames, SS SF",2,9,,,,,,1,,,,,,
SEA,"Logan Webb, SP SF",3,8,,,,,,1,,,,,,
SEA,"Robbie Ray, SP SF",1,3,,,,,,1,,,,,,
LAD,"Freddie Freeman, 1B LAD",2,5.2,,,,,,2,,,,,,
LAD,"Luis Arraez, 1B/2B SD",3,0.8,,,,,,2,,,,,,
LAD,"Ketel Marte, 2B ARZ",3,2.2,,,,,,2,,,,,,
LAD,"Willy Adames, SS SF",5,2.2,,,,,,2,,,,,,
LAD,"Luis Matos, OF SF",5,0.42,,,,,,2,,,,,,
LAD,"Teoscar Hernandez, OF LAD",3,2.2,,,,,,2,,,,,,
LAD,"Zac Gallen, SP ARZ",3,3.3,,,,,,2,,,,,,
LAD,"Merrill Kelly, SP ARZ",1,0.75,,,,,,2,,,,,,
LAD,"Jordan Montgomery, SP ARZ",3,0.8,,,,,,2,,,,,,
LAD,"Roki Sasaki, SP LAD",5,6.2,,,,,,2,,,,,,
LAD,"Dylan Cease, SP SD",5,6.2,,,,,,2,,,,,,
LAD,"Joe Musgrove, SP SD",4,0.62,,,,,,2,,,,,,
LAD,"Logan Webb, SP SF",3,3.3,,,,,,2,,,,,,
LAD,"Robbie Ray, SP SF",2,0.8,,,,,,2,,,,,,
LAD,"Keaton Winn, SP SF",5,0.42,,,,,,2,,,,,,
LAD,"Randy Rodriguez, RP SF",5,0.4,,,,,,2,,,,,,
TB,"Freddie Freeman, 1B LAD",2,10.2,,,,,,3,,,,,,
TB,"Luis Arraez, 1B/2B SD",3,7.5,,,,,,3,,,,,,
TB,"Brendan Rodgers, OF HOU (Formerly COL)",2,0.4,,,,,,3,,,,,,
TB,"Ryan McMahon, 3B COL",1,2.2,,,,,,3,,,,,,
TB,"Manny Machado, 3B SD",3,15.15,,,,,,3,,,,,,
TB,"Alek Thomas, OF ARZ",3,0.75,,,,,,3,,,,,,
TB,"Luis Matos, OF SF",4,0.68,,,,,,3,,,,,,
TB,"Roki Sasaki, SP LAD",5,16.3,,,,,,3,,,,,,
TB,"Dylan Cease, SP SD",3,10.1,,,,,,3,,,,,,
TB,"Merrill Kelly, SP ARZ",1,1.96,,,,,,3,,,,,,
TB,"Jordan Montgomery, SP ARZ",1,1.13,,,,,,3,,,,,,
TB,"Randy Rodriguez, RP SF",5,0.42,,,,,,3,,,,,,
TB,"Brusdar Graterol, RP LAD",4,0.41,,,,,,3,,,,,,
TB,"Justin Lawrence, RP COL",2,0.4,,,,,,3,,,,,,
PIT,"Luis Arraez, 1B/2B SD",4,2.26,,,,,,4,,,,,,
PIT,"Teoscar Hernandez, OF LAD",2,6.76,,,,,,4,,,,,,
PIT,"Corbin Burnes, SP ARZ",4,7.76,,,,,,4,,,,,,
PIT,"Dylan Cease, SP SD",4,6.76,,,,,,4,,,,,,
PIT,"Zac Gallen, SP ARZ",4,5.76,,,,,,4,,,,,,
PIT,"Logan Webb, SP SF",4,5.76,,,,,,4,,,,,,
PIT,"Jason Adam, RP SD",2,0.76,,,,,,4,,,,,,
OAK,"Freddie Freeman, 1B LAD",2,7.5,6,9,,,,5,,6,9,6,9,TRUE
OAK,"Ketel Marte, 2B ARZ",2,8,6.4,9.6,,,,5,,6.4,9.6,6.4,9.6,TRUE
OAK,"Manny Machado, 3B SD",2,10,8,12,,,,5,,8,12,8,12,TRUE
OAK,"Max Muncy, 3B LAD",1,1.85,,,,,,5,,,,,,
OAK,"Ryan McMahon, 3B COL",2,4,3.2,4.8,,,,5,,3.2,4.8,3.2,4.8,TRUE
OAK,"Willy Adames, SS SF",3,5,4,5,6,,,5,,4,6,4,6,TRUE
OAK,"Teoscar Hernandez, OF LAD",1,5.3,,,,,,5,,,,,,
OAK,"Corbin Burnes, SP ARZ",3,6.45,5.45,6.45,7.45,,,5,,5.45,7.45,5.16,7.74,TRUE
OAK,"Joe Musgrove, SP SD",4,1.13,,,,,,5,,,,,,
OAK,"Dylan Cease, SP SD",3,8.45,7.45,8.45,9.45,,,5,,7.45,9.45,6.76,10.14,TRUE
OAK,"Logan Webb, SP SF",3,5.55,4.55,5.55,6.55,,,5,,4.55,6.55,4.44,6.66,TRUE
OAK,"Zac Gallen, SP ARZ",3,3.95,3.35,3.95,4.6,,,5,,3.35,4.6,3.16,4.74,FALSE
OAK,"Roki Sasaki, SP LAD",5,6,4.8,4.8,6,7.2,7.2,5,,4.8,7.2,4.8,7.2,TRUE
NYY,"Manny Machado, 3B SD",2,15.2,13.9,16.5,,,,6,,13.9,16.5,12.16,18.24,TRUE
NYY,"Ketel Marte, 2B ARZ",3,8.75,9.5,8,8.25,,,6,,8,9.5,7,10.5,FALSE
NYY,"Teoscar Hernandez, OF LAD",1,5,,,,,,6,,,,,,
NYY,"Kris Bryant, OF COL",1,0.9,,,,,,6,,,,,,
NYY,"Luis Arraez, 1B/2B SD",2,5.1,4.5,5.6,,,,6,,4.5,5.6,4.08,6.12,FALSE
NYY,"Freddie Freeman, 1B LAD",1,8.26,,,,,,6,,,,,,
NYY,"Tyler Wade, 2B SD",1,0.95,,,,,,6,,,,,,
NYY,"Lamonte Wade, 1B SF",1,1,,,,,,6,,,,,,
BOS,"Freddie Freeman, 1B LAD",3,5.15,,,,,,7,,,,,,
BOS,"Ketel Marte, 2B ARZ",2,4.15,,,,,,7,,,,,,
BOS,"Manny Machado, 3B SD",2,10.15,8,12.3,,,,7,,8,12.3,8.12,12.18,FALSE
BOS,"Teoscar Hernandez, OF LAD",3,5.15,,,,,,7,,,,,,
BOS,"Willy Adames, SS SF",3,4.06,,,,,,7,,,,,,
BOS,"Max Muncy, 3B LAD",2,3.05,,,,,,7,,,,,,
BOS,"Ryan McMahon, 3B COL",2,0.67,,,,,,7,,,,,,
BOS,"Corbin Burnes, SP ARZ",3,7.15,,,,,,7,,,,,,
BOS,"Roki Sasaki, SP LAD",5,5.15,,,,,,7,,,,,,
