[b]LAD[/b]
Drew Anderson, RP DET, 3 years at 0.50 per year
Jordan Leasure, RP CWS, 5 years at 0.60 per year
Colin Holderman, RP CLE, 2 years at 0.40 per year
Sawyer Gipson-Long, RP DET, 5 years at 0.40 per year

[b]TB[/b]
Mike Vasil, RP CWS, 3 years at 0.50 per year
Kyle Finnegan, RP DET, 1 year at 2.66 per year
Javier Baez, 2B/3B/SS/OF DET, 1 year at 1.10 per year
Angel Martinez, 2B/OF CLE, 2 years at 0.40 per year

[b]BOS[/b]
Anthony Kay, RP CWS, 5 years at 0.81 per year
Shawn Armstrong, RP CLE, 2 years at 0.53 per year

[b]ARZ[/b]
Salvador Perez, C/1B KC, 1 year at 7.60 per year
Justin Verlander, SP DET, 1 year at 3.00 per year
Hunter Gaddis, RP CLE, 1 year at 1.25 per year
Cole Sands, RP MIN, 1 year at 1.50 per year
Ryan Jeffers, C MIN, 1 year at 1.30 per year
Matt Strahm, RP KC, 1 year at 1.00 per year
Stephen Kolek, SP KC, 1 year at 1.00 per year

[b]NYY[/b]
Isaac Collins, OF KC, 2 years at 0.75 per year
Austin Hays, OF CWS, 1 year at 1.00 per year
David Fry, OF CLE, 2 years at 0.55 per year
Anthony Banda, RP MIN, 1 year at 0.45 per year

[b]DET[/b]
Seranthony Dominguez, RP CWS, 1 year at 6.60 per year
Brooks Baldwin, 2B/3B/SS/OF CWS, 2 years at 1.20 per year
Andrew Benintendi, OF CWS, 1 year at 4.10 per year

[b]PHI[/b]
Kris Bubic, SP KC, 2 years at 6.75 per year
Michael Wacha, SP KC, 1 year at 4.50 per year
John Schreiber, RP KC, 2 years at 0.65 per year

[b]CLE[/b]
Jose Ramierz, 3B CLE, 2 years at 15.65 per year (15.10, 16.20)
Taylor Rogers, RP MIN, 1 year at 0.78 per year
Sean Newcomb, RP CWS, 2 years at 0.68 per year

[b]CHC[/b]
Will Vest, RP DET, 1 year at 2.69 per year
Erick Fedde, RP CWS, 1 year at 0.69 per year

[b]ATL[/b]
Kenley Jansen, RP DET, 1 year at 8.55 per year
Seth Lugo, SP KC, 1 year at 3.50 per year
Chris Murphy, RP CWS, 1 year at 0.50 per year

[b]TOR[/b]
Bo Naylor, C CLE, 3 years at 2.10 per year

[b]PIT[/b]
Kody Clemens, 1B/2B/OF MIN, 3 years at 0.76 per year
Zach McKinstry, 2B/3B/OF DET, 2 years at 0.76 per year

[b]WAS[/b]
Josh Bell, 1B MIN, 1 year at 2.00 per year

[b]MIL[/b]
Munetaka Murakami, 1B CWS, 4 years at 6.00 per year
Byron Buxton, OF MIN, 3 years at 8.50 per year

[b]KC[/b]
Carlos Estevez, RP KC, 1 year at 9.52 per year

