[b]DET[/b]
Aroldis Chapman, RP NYY, 4 years at 12.75 per year (10.75, 13.75, 13.75, 12.75)
James Paxton, SP NYY, 3 years at 8.00 per year
Aaron Hicks, OF NYY, 3 years at 2.50 per year (2.00, 3.00, 2.50)
Mychal Givens, RP BAL, 2 years at 4.00 per year

[b]NYM[/b]
Jose Martinez, OF TB, 4 years at 0.60 per year

[b]LAD[/b]
Yoshitomo Tsutsugo, OF TB, 2 years at 5.60 per year
Chris Sale, SP BOS, 1 year at 15.20 per year
Matt Shoemaker, SP TOR, 2 years at 3.60 per year

[b]NYY[/b]
Masahiro Tanaka, SP NYY, 1 year at 7.30 per year

[b]ATL[/b]
Shun Yamaguchi, SP TOR, 2 years at 1.60 per year
Asher Wojciechowski, RP BAL, 1 year at 0.90 per year

[b]PIT[/b]
Pedro Severino, C BAL, 4 years at 0.48 per year
Christian Vazquez, C BOS, 2 years at 1.31 per year

[b]BOS[/b]
Charlie Morton, SP TB, 5 years at 12.58 per year (10.10, 11.50, 12.80, 14.20, 14.30)
J.A. Happ, RP NYY, 3 years at 3.29 per year

[b]PHI[/b]
Hyun-Jin Ryu, SP TOR, 1 year at 7.30 per year

[b]OAK[/b]
Tommy Kahnle, RP NYY, 2 years at 1.90 per year
Anthony Santander, OF BAL, 5 years at 2.98 per year

[b]ARZ[/b]
Mitch Moreland, 1B BOS, 1 year at 1.00 per year

[b]CHC[/b]
JD Martinez, OF BOS, 1 year at 17.99 per year
Matt Barnes, RP BOS, 1 year at 2.85 per year
Jose Alvarado, RP TB, 1 year at 5.99 per year
Oliver Drake, RP TB, 1 year at 0.41 per year
Ryan Brasier, RP BOS, 1 year at 0.51 per year

[b]TOR[/b]
Brett Gardner, OF NYY, 1 year at 5.20 per year
Hanser Alberto, 2B BOS, 4 years at 2.50 per year
Mike Tauchman, 2 years at 4.40 per year
Chaz Roe, RP TB, 2 years at 2.30 per year

[b]KC[/b]
Martin Perez, SP BOS, 1 year at 2.05 per year
Alex Cobb, SP BAL, 1 year at 1.05 per year
Chase Anderson, SP TOR, 1 year at 3.05 per year
Ryan Weber, SP BOS, 1 year at 0.40 per year

[b]BAL[/b]
Jackie Bradley, OF BOS, 1 year at 3.00 per year

