[b]TB[/b]
Luis Medina, SP OAK, 4 years at 0.63 per year
JP Crawford, SS SEA, 1 year at 1.90 per year

[b]DET[/b]
Jake Meyers, OF HOU, 1 year at 1.60 per year
Bennett Sousa, RP HOU, 1 year at 0.95 per year
Danny Jansen, C TEX, 1 year at 0.40 per year

[b]CLE[/b]
Logan Gilbert, SP SEA, 2 years at 11.70 per year (10.20, 13.20)
Nathan Eovaldi, SP TEX, 1 year at 8.41 per year
Josh Jung, 3B TEX, 3 years at 3.07 per year
Mark Leiter, RP OAK, 1 year at 0.41 per year

[b]ATL[/b]
Kirby Yates, RP LAA, 1 year at 2.50 per year
Yusei Kikuchi, SP LAA, 1 year at 5.50 per year
Justin Sterner, RP OAK, 3 years at 2.50 per year
Robert Stephenson, RP LAA, 1 year at 3.00 per year

[b]ARZ[/b]
Josh Naylor, 1B SEA, 1 year at 10.00 per year
Jose Altuve, 2B HOU, 1 year at 10.10 per year
Chris Martin, RP TEX, 1 year at 1.00 per year

[b]BOS[/b]
Reid Detmers, RP LAA, 2 years at 2.59 per year
Zach Cole, OF HOU, 3 years at 0.45 per year
George Valera, OF CLE, 3 years at 0.45 per year

[b]SEA[/b]
Josh Hader, RP HOU, 1 year at 7.00 per year

[b]CHC[/b]
Mike Trout, OF LAA, 1 year at 5.59 per year
Drew Pomeranz, RP LAA, 1 year at 0.43 per year
Ryan Weiss, SP HOU, 1 year at 0.69 per year

[b]LAD[/b]
Tatsuya Imai, SP HOU, 5 years at 10.00 per year
Hayden Wesneski, SP HOU, 5 years at 0.40 per year

[b]OAK[/b]
Gabe Speier, RP SEA, 2 years at 0.95 per year
Corey Seager, SS TEX, 3 years at 8.50 per year (6.80, 8.50, 10.20)
Eduard Bazardo, RP SEA, 1 year at 0.45 per year
Dominic Canzone, OF SEA, 3 years at 0.89 per year
Steven Okert, RP HOU, 1 year at 0.65 per year

[b]PIT[/b]
Yoan Moncada, 3B LAA, 2 years at 1.26 per year

[b]NYY[/b]
Christian Walker, 1B HOU, 1 year at 4.35 per year
Jacob Latz, RP TEX, 3 years at 1.28 per year
Cody Bradford, SP TEX, 3 years at 0.55 per year

[b]KC[/b]
Luis Castillo, SP SEA, 1 year at 11.02 per year

