[b]CLE[/b]
Aristides Aquino, LF CIN, 2 years at 0.46 per year
Jose Quintana, RP PIT, 2 years at 2.16 per year
Mike Minor, SP CIN, 2 years at 2.20 per year
Mychal Givens, RP CIN, 1 year at 0.68 per year
Yoshi Tsutsugo, 1B PIT, 2 years at 1.77 per year
Kyle Farmer, SS CIN, 2 years at 1.96 per year

[b]LAD[/b]
Keegan Thompson, SP CHC, 2 years at 0.41 per year

[b]BOS[/b]
Marcus Stroman, SP CHC, 1 year at 7.19 per year
Wade Miley, SP CHC, 2 years at 3.37 per year
Alec Mills, SP CHC, 2 years at 1.17 per year
Clint Frazier, OF CHC, 4 years at 0.78 per year

[b]NYM[/b]
Drew Smyly, SP CHC, 1 year at 1.60 per year
Christian Yelich, OF MIL, 3 years at 9.10 per year (10.00, 9.10, 8.20)
Tejay Antone, RP CIN, 5 years at 0.40 per year

[b]NYY[/b]
Anthony Alford, OF PIT, 4 years at 0.85 per year
Dan Vogelbach, 1B PIT, 2 years at 1.00 per year
Andrew McCutchen, OF MIL, 1 year at 2.00 per year
Justin Steele, RP CHC, 2 years at 1.00 per year

[b]TB[/b]
Art Warren, RP CIN, 2 years at 3.50 per year
Tyler Naquin, OF CIN, 1 year at 3.50 per year

[b]KC[/b]
Nolan Arenado, 3B STL, 1 year at 13.02 per year

[b]ATL[/b]
Luis Cessa, RP CIN, 3 years at 1.50 per year
Chris Stratton, RP PIT, 1 year at 1.75 per year
Rafael Ortega, OF CHC, 1 year at 0.90 per year
Jonathan Villar, 3B CHC, 1 year at 4.00 per year

[b]SD[/b]
Kolten Wong, 2B MIL, 2 years at 4.73 per year

[b]CHC[/b]
Brad Boxberger, RP MIL, 1 year at 0.99 per year
Giovanny Gallegos, RP STL, 1 year at 8.49 per year
Nick Castellanos, OF CIN, 1 year at 9.69 per year

[b]ARZ[/b]
Mike Moustakas, 3B CIN, 1 year at 5.20 per year
Paul Goldschmidt, 1B STL, 1 year at 14.00 per year

[b]SEA[/b]
Kyle Hendricks, SP CHC, 2 years at 5.00 per year
Miles Mikolas, SP STL, 1 year at 3.00 per year
Steven Matz, SP STL, 1 year at 6.00 per year
Eric Lauer, SP MIL, 5 years at 5.00 per year
Yadier Molina, C STL, 1 year at 2.00 per year
Joey Votto, 1B CIN, 1 year at 7.00 per year

[b]PIT[/b]
Seiya Suzuki, OF CHC, 5 years at 6.26 per year

[b]TOR[/b]
Edmundo Sosa, SS STL, 5 years at 3.60 per year

