[b]TB[/b]
Otto Lopez, 2B/SS MIA, 3 years at 4.30 per year
Christopher Morel, OF MIA, 1 year at 0.49 per year
Robert Suarez, RP ATL, 3 years at 3.60 per year
Brad Keller, RP PHI, 1 year at 1.11 per year
Tobias Myers, RP NYM, 2 years at 0.43 per year
Bryce Elder, SP ATL, 1 year at 0.78 per year
Chris Paddack, SP MIA, 1 year at 0.57 per year

[b]LAD[/b]
Clay Holmes, SP NYM, 3 years at 3.20 per year
Kodai Senga, SP NYM, 3 years at 3.20 per year

[b]BOS[/b]
Taijuan Walker, SP PHI, 3 years at 0.73 per year
Brooks Raley, RP NYM, 3 years at 0.40 per year

[b]MIL[/b]
Bryce Harper, 1B PHI, 3 years at 16.50 per year

[b]NYY[/b]
Francisco Lindor, SS NYM, 1 year at 12.50 per year
Martin Perez, RP ATL, 1 year at 1.00 per year
Miles Mikolas, SP WAS, 1 year at 1.00 per year

[b]CHC[/b]
Jose Alvarado, RP PHI, 1 year at 1.99 per year
Dylan Lee, RP ATL, 1 year at 0.59 per year
Joey Wentz, SP ATL, 1 year at 1.99 per year

[b]ATL[/b]
Starling Marte, OF NYM, 1 year at 0.40 per year

[b]CLE[/b]
Adolis Garcia, OF PHI, 2 years at 1.29 per year
Javier Sanoja, 2B/3B/SS/OF MIA, 1 year at 0.48 per year
Christian Scott, SP NYM, 4 years at 0.44 per year

[b]ARZ[/b]
Trea Turner, SS PHI, 1 year at 12.50 per year

[b]OAK[/b]
Chris Sale, SP ATL, 2 years at 9.50 per year (7.60, 11.40)
Ozzie Albies, 2B ATL, 3 years at 5.65 per year (4.65, 5.65, 6.65)
Marcus Semien, 2B NYM, 1 year at 3.10 per year
Austin Riley, 3B ATL, 3 years at 10.50 per year (8.50, 10.50, 12.50)
Foster Griffin, SP WAS, 3 years at 1.85 per year
Jurickson Profar, OF ATL, 1 year at 3.65 per year
Sean Manaea, SP NYM, 1 year at 3.10 per year
Brandon Marsh, OF PHI, 3 years at 1.15 per year

[b]PHI[/b]
Aaron Nola, SP PHI, 2 years at 6.50 per year

[b]SEA[/b]
Pete Fairbanks, RP MIA, 1 year at 7.01 per year
Raisel Iglesias, RP ATL, 1 year at 6.01 per year

[b]TOR[/b]
Calvin Faucher, RP MIA, 2 years at 0.80 per year

[b]WAS[/b]
Matt Olson, 1B ATL, 3 years at 13.00 per year

[b]SD[/b]
Jorge Polanco, 2B NYM, 2 years at 4.43 per year

