[b]TB[/b]
Fernando Tatis, Jr, OF SD, 5 years at 19.20 per year
Luis Matos, OF SF, 3 years at 0.50 per year
Jake McCarthy, OF COL, 1 year at 0.40 per year
Erik Miller, RP SF, 3 years at 0.46 per year

[b]MIL[/b]
Yu Darvish, SP SD, 1 year at 1.00 per year

[b]NYY[/b]
Drey Jameson, RP ARZ, 3 years at 0.52 per year
Juan Mejia, RP COL, 2 years at 0.52 per year
Griffin Canning, SP SD, 2 years at 0.89 per year
Willi Castro, 2B/3B/OF COL, 1 year at 0.95 per year

[b]ARZ[/b]
Adrian Houser, SP SF, 1 year at 2.00 per year

[b]SEA[/b]
Xander Bogaerts, SS SD, 1 year at 5.01 per year
Teoscar Hernandez, OF LAD, 1 year at 7.01 per year
Merrill Kelly, SP ARZ, 1 year at 5.01 per year
Max Muncy, 3B LAD, 1 year at 5.01 per year
Victor Vodnik, RP COL, 1 year at 0.40 per year
Jose Quintana, SP COL, 1 year at 0.40 per year
Michael Lorenzen, SP COL, 1 year at 0.40 per year

[b]DET[/b]
Paul Sewald, RP ARZ, 1 year at 3.00 per year
Matt Chapman, 3B SF, 1 year at 5.10 per year
Kevin Ginkel, RP ARZ, 2 years at 2.00 per year

[b]ATL[/b]
Adrian Morejon, RP SD, 3 years at 2.00 per year
Kyle Freeland, SP COL, 1 year at 0.50 per year
Harrison Bader, OF SF, 1 year at 0.75 per year
JP Sears, SP SD, 1 year at 1.00 per year
Tomiyuki Sugano, SP COL, 1 year at 0.40 per year

[b]CLE[/b]
Eduardo Rodriguez, SP ARZ, 2 years at 2.10 per year
Walker Buehler, SP SD, 3 years at 0.69 per year

[b]KC[/b]
Ketel Marte, 2B ARZ, 1 year at 12.52 per year
Blake Snell, SP LAD, 1 year at 7.02 per year
Jake Cronenworth, 1B/2B/SS SD, 1 year at 1.02 per year
Sung-Mun Song, 2B SD, 1 year at 1.02 per year

[b]BOS[/b]
Tanner Scott, RP LAD, 2 years at 0.57 per year
Randy Vasquez, SP SD, 2 years at 1.78 per year
Nolan Arenado, 3B ARZ, 3 years at 2.79 per year
Joel Peguero, RP SF, 3 years at 0.51 per year
Blake Treinen, RP LAD, 1 year at 0.40 per year

[b]OAK[/b]
Tyler Freeman, 2B/OF, COL, 1 year at 0.85 per year

[b]WAS[/b]
Jason Adam, RP SD, 1 year at 1.50 per year

[b]LAD[/b]
Roki Sasaki, SP LAD, 5 years at 7.10 per year

[b]TOR[/b]
Alex Vesia, RP LAD, 3 years at 1.90 per year
Kyle Tucker, OF LAD, 3 years at 14.70 per year
Triston McKenzie, SP SD, 3 years at 0.60 per year

