Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order
CHC,"Blas Castano, SP SEA",1,0.1,,,,,,1
ATL,"Luis Guerrero, P BOS",1,0.15,,,,,,2
ATL,"Valente Bellozzo, P MIA",1,0.1,,,,,,2
ATL,"Daysbel Hernandez, P ATL",1,0.1,,,,,,2
SEA,"Alan Roden, OF TOR",1,0.1,,,,,,3
SEA,"Eduardo Beltre, OF MIN",1,0.1,,,,,,3
SEA,"Jimmy Crooks, C STL",1,0.1,,,,,,3
SEA,"Jhonny Level, SS SF",1,0.1,,,,,,3
SEA,"Brody Hopkins, RP TB",1,0.1,,,,,,3
SEA,"Josh Kasevich, SS TOR",1,0.1,,,,,,3
SEA,"Jansel Luis, SS ARZ",1,0.1,,,,,,3
SEA,"Trevor Harrison, SP TB",1,0.1,,,,,,3
SEA,"Max Acosta, SS MIA",1,0.1,,,,,,3
SEA,"Josh Knoth, RP MIL",1,0.1,,,,,,3
SEA,"Mason Black, RP SF",1,0.1,,,,,,3
SEA,"Elian Pena, SS NYM",1,0.1,,,,,,3
PIT,"Joe Mack, C MIA",1,1.1,,,,,,4
PIT,"Joswa Lugo, SS LAA",1,1.1,,,,,,4
PIT,"Sawyer Gipson-Long, SP DET",1,1.1,,,,,,4
PIT,"Dedniel Nunez, RP NYM",1,1.1,,,,,,4
ATL,"Osvaldo Bido, P SAC",1,0.2,,,,,,5
KC,"Ty Johnson, SP TB",1,0.25,,,,,,6
KC,"Connor Prielipp, SP MIN",1,0.4,,,,,,6
KC,"Shane Smith, RP CWS",1,0.5,,,,,,6
KC,"Will Wagner, 2B TOR",1,0.4,,,,,,6
ARZ,"Bryce Cunningham, SP NYY",1,0.1,,,,,,7
ARZ,"Kyle DeBarge, 2B MIN",1,0.1,,,,,,7
COL,"Joe Mack, C MIA",1,0.4,,,,,,8
COL,"Nester German, P BAL",1,0.25,,,,,,8
COL,"Shane Smith, RP CWS",1,0.75,,,,,,8
COL,"Ty Johnson, SP TB",1,0.3,,,,,,8
COL,"Noah Cameron, P KC",1,0.35,,,,,,8
COL,"Will Wagner, 2B TOR",1,0.75,,,,,,8
COL,"Alan Roden, OF TOR",1,0.35,,,,,,8
COL,"Josh Kasevich, SS TOR",1,0.35,,,,,,8
COL,"Mason Montgomery, RP TB",1,0.3,,,,,,8
COL,"Luis Merejo, 1B CLE",1,0.25,,,,,,8
COL,"Chase Harlan, 3B LAD",1,0.25,,,,,,8
LAD,"Mason Montgomery, RP TB",1,0.4,,,,,,9
LAD,"Dedniel Nunez, RP NYM",1,0.1,,,,,,9
LAD,"Craig Yoho, P MIL",1,0.1,,,,,,9
LAD,"Alan Roden, OF TOR",1,0.25,,,,,,9
LAD,"Josh Kasevich, SS TOR",1,0.25,,,,,,9
LAD,"Noah Cameron, P KC",1,0.25,,,,,,9
LAD,"Jake Miller, SP DET",1,0.15,,,,,,9
LAD,"Jimmy Crooks, C STL",1,0.1,,,,,,9
LAD,"Sawyer Gipson-Long, SP DET",1,0.25,,,,,,9
TB,"Mason Montgomery, RP TB",1,0.1,,,,,,10
TB,"Tirso Ornelas, OF SD",1,0.2,,,,,,10
TB,"Alan Roden, OF TOR",1,0.1,,,,,,10
TB,"Josh Kasevich, SS TOR",1,0.1,,,,,,10
TB,"Kohl Drake, SP TEX",1,0.1,,,,,,10
ATL,"Ryan Cusick, P SAC",1,0.1,,,,,,11
ATL,"Didier Fuentes, P ATL",1,0.1,,,,,,11
ATL,"Nestor German, P BAL",1,0.1,,,,,,11
NYY,"Luis Merejo, 1B CLE",1,0.15,,,,,,12
NYY,"Noah Cameron, P KC",1,0.2,,,,,,12
NYY,"Mason Montgomery, RP TB",1,0.2,,,,,,12
NYY,"Didier Fuentes, P ATL",1,0.1,,,,,,12
NYY,"Jackson Nezuh, P HOU",1,0.1,,,,,,12
NYY,"Jhancarlos Lara, P ATL",1,0.1,,,,,,12
NYY,"Maykel Coret, OF TB",1,0.1,,,,,,12
NYY,"Conrad Cason, SS BOS",1,0.1,,,,,,12
NYY,"Keyner Benitez, P MIA",1,0.1,,,,,,12
NYY,"Alfonsin Rosario, OF CLE",1,0.1,,,,,,12
OAK,"Alan Roden, OF TOR",1,0.25,,,,,,13
OAK,"Noah Cameron, P KC",1,0.2,,,,,,13
OAK,"Ty Johnson, SP TB",1,0.2,,,,,,13
OAK,"Rafael Flores, C/1B NYY",1,0.15,,,,,,13
OAK,"Dedniel Nunez, RP NYM",1,0.1,,,,,,13
DET,"Dedniel Nunez, RP NYM",1,0.35,,,,,,14
DET,"Rodney Green, OF SAC",1,0.15,,,,,,14
DET,"Chase Mobley, P CLE",1,0.1,,,,,,14
DET,"Josh Kasevich, SS TOR",1,0.1,,,,,,14
DET,"Josh Knoth, RP MIL",1,0.1,,,,,,14
DET,"Ethan Anderson, C BAL",1,0.1,,,,,,14
WAS,"Alan Roden, OF TOR",1,0.2,,,,,,15
WAS,"Stiven Martinez, OF BAL",1,0.15,,,,,,15
PIT,"Max Acosta, SS MIA",1,0.25,,,,,,16
