Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,,Min,Max,MinRange,MaxRange,IsValid
TB,"Max Fried, SP NYY",3,7,,,,,,1,,,,,,
TB,"Kevin Gausman, SP TOR",1,6.89,,,,,,1,,,,,,
TB,"Ryan Helsley, RP BAL",2,5.65,,,,,,1,,,,,,
TB,"Ranger Suarez, SP BOS",1,4.25,,,,,,1,,,,,,
TB,"Carlos Rodon, SP NYY",1,5,,,,,,1,,,,,,
TB,"Gerrit Cole, SP NYY",3,8,,,,,,1,,,,,,
TB,"Edwin Uceta, RP TB",4,2.15,,,,,,1,,,,,,
TB,"Keegin Akin, RP BAL",1,0.53,,,,,,1,,,,,,
TB,"Zach Eflin, SP BAL",1,3.2,,,,,,1,,,,,,
TB,"Nick Martinez, SP TB",1,2.6,,,,,,1,,,,,,
TB,"Garrett Cleavinger, RP TB",2,0.44,,,,,,1,,,,,,
TB,"Kazuma Okamoto, 3B TOR",1,2.8,,,,,,1,,,,,,
TB,"Gavin Lux, 2B/OF TB",2,0.8,,,,,,1,,,,,,
TB,"Connor Wong, C BOS",1,0.48,,,,,,1,,,,,,
TB,"Trent Grisham, OF NYY",1,1.65,,,,,,1,,,,,,
TB,"Blaze Alexander, 2B/3B BAL",1,0.43,,,,,,1,,,,,,
BOS,"George Springer, OF TOR",1,5.01,,,,,,2,,,,,,
BOS,"Yandy Diaz, 1B TB",1,7.01,,,,,,2,,,,,,
BOS,"Willson Contreras, 1B BOS",2,4.12,,,,,,2,,,,,,
BOS,"Kazuma Okamoto, 3B TOR",3,4.01,,,,,,2,,,,,,
BOS,"Trent Grisham, OF NYY",3,3.31,,,,,,2,,,,,,
BOS,"Gavin Lux, 2B/OF TB",3,0.57,,,,,,2,,,,,,
BOS,"Max Fried, SP NYY",3,10.02,,,,,,2,,,,,,
BOS,"Kevin Gausman, SP TOR",2,7.01,,,,,,2,,,,,,
BOS,"Ranger Suarez, SP BOS",3,4.01,,,,,,2,,,,,,
BOS,"Carlos Rodon, SP NYY",3,3.01,2.5,3,3.53,,,2,,2.5,3.53,2.408,3.612,TRUE
BOS,"Gerrit Cole, SP NYY",3,3.01,2.5,3,3.53,,,2,,2.5,3.53,2.408,3.612,TRUE
BOS,"Steven Matz, SP TB",2,3.01,,,,,,2,,,,,,
BOS,"Nick Martinez, SP TB",2,2.01,,,,,,2,,,,,,
BOS,"Zach Eflin, SP BAL",2,1.72,,,,,,2,,,,,,
BOS,"Cody Ponce, SP TOR",5,1.87,,,,,,2,,,,,,
BOS,"Ryan Helsley, RP BAL",2,6.51,5.51,7.51,,,,2,,5.51,7.51,5.208,7.812,TRUE
BOS,"Edwin Uceta, RP TB",2,1.32,,,,,,2,,,,,,
BOS,"Cole Sulser, RP TB",3,0.41,,,,,,2,,,,,,
BOS,"Tyler Rogers, RP TOR",3,0.67,,,,,,2,,,,,,
BOS,"Andrew Kittredge, RP BAL",1,0.75,,,,,,2,,,,,,
BOS,"Garrett Cleavinger, RP TB",2,0.88,,,,,,2,,,,,,
BOS,"Bryan Baker, RP TB",1,0.41,,,,,,2,,,,,,
BOS,"Camilo Doval, RP NYY",4,0.87,,,,,,2,,,,,,
NYY,"Steven Matz, SP TB",1,0.65,,,,,,3,,,,,,
NYY,"Garrett Cleavinger, RP TB",2,1.32,,,,,,3,,,,,,
NYY,"Andrew Kittredge, RP BAL",1,0.88,,,,,,3,,,,,,
NYY,"Chris Bassit, SP BAL",1,3.45,,,,,,3,,,,,,
NYY,"Johan Oviedo, SP BOS",1,0.88,,,,,,3,,,,,,
NYY,"Max Fried, SP NYY",1,8.22,,,,,,3,,,,,,
NYY,"Nick Martinez, SP TB",1,0.88,,,,,,3,,,,,,
MIL,"Zach Eflin, SP BAL",2,0.75,,,,,,4,,,,,,
MIL,"Max Scherzer, SP TOR",2,1.1,,,,,,4,,,,,,
MIL,"Yimi Garcia, RP TOR",2,0.5,,,,,,4,,,,,,
SEA,"Ryan Helsley, RP BAL",1,7,,,,,,5,,,,,,
SEA,"Ranger Suarez, SP BOS",1,5,,,,,,5,,,,,,
SEA,"Chris Bassit, SP BAL",1,3,,,,,,5,,,,,,
SEA,"Willson Contreras, 1B BOS",1,4,,,,,,5,,,,,,
SEA,"Carlos Rodon, SP NYY",1,5,,,,,,5,,,,,,
SEA,"Max Fried, SP NYY",1,8,,,,,,5,,,,,,
SEA,"Gerrit Cole, SP NYY",1,3,,,,,,5,,,,,,
SEA,"Trent Grisham, OF NYY",3,3,,,,,,5,,,,,,
SEA,"Yandy Diaz, 1B TB",1,5,,,,,,5,,,,,,
SEA,"George Springer, OF TOR",1,5,,,,,,5,,,,,,
SEA,"Kevin Gausman, SP TOR",1,7,,,,,,5,,,,,,
SEA,"Steven Matz, SP TB",1,0.4,,,,,,5,,,,,,
PHI,"Max Fried, SP NYY",2,9.5,,,,,,6,,,,,,
PHI,"Kevin Gausman, SP TOR",2,5.5,,,,,,6,,,,,,
PHI,"Ranger Suarez, SP BOS",2,6.75,,,,,,6,,,,,,
PHI,"Carlos Rodon, SP NYY",2,5.5,,,,,,6,,,,,,
PHI,"Chris Bassit, SP BAL",1,2.5,,,,,,6,,,,,,
PHI,"Andrew Kittredge, RP BAL",2,0.53,,,,,,6,,,,,,
PHI,"Tyler Rogers, RP TOR",2,0.65,,,,,,6,,,,,,
PHI,"Ryan Helsley, RP BAL",2,2.5,,,,,,6,,,,,,
OAK,"Ryan Helsley, RP BAL",2,5,4,6,,,,7,,4,6,4,6,TRUE
OAK,"Zach Eflin, SP BAL",1,1.45,,,,,,7,,,,,,
OAK,"Willson Contreras, 1B BOS",1,0.85,,,,,,7,,,,,,
OAK,"Ranger Suarez, SP BOS",2,4.1,,,,,,7,,,,,,
OAK,"Max Fried, SP NYY",2,10,12,8,,,,7,,8,12,8,12,TRUE
OAK,"Carlos Rodon, SP NYY",1,3.95,,,,,,7,,,,,,
OAK,"Gerrit Cole, SP NYY",3,5.5,5.5,4.5,6.5,,,7,,4.5,6.5,4.4,6.6,TRUE
