Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order
PIT,"Frankie Montas, SP OAK",3,9.26,7.81,9.98,9.99,,,1
TB,"Jared Walsh, 1B/OF LAA",3,12,,,,,,2
TB,"Frankie Montas, SP OAK",2,14,13,15,,,,2
TB,"Jake Odorizzi, SP HOU",1,1.95,,,,,,2
TB,"Jose LeClerc, RP TEX",2,2,0.85,3.15,,,,2
LAD,"Frankie Montas, SP OAK",3,2.2,,,,,,3
LAD,"Robbie Ray, SP SEA",3,2.3,,,,,,3
LAD,"Jake Odorizzi, SP HOU",2,0.4,,,,,,3
NYY,"Max Stassi, C LAA",1,0.55,,,,,,4
NYY,"Jose Suarez, RP LAA",4,3,2.4,3.2,3.2,3.2,,4
NYY,"Taylor Hearn, RP TEX",2,0.75,,,,,,4
NYY,"Jake Odorizzi, SP HOU",1,1.15,,,,,,4
ATL,"Marcus Semien, 2B TEX",1,6,,,,,,5
ATL,"Patrick Sandoval, SP LAA",3,0.8,,,,,,5
ATL,"Robbie Ray, SP SEA",1,4,,,,,,5
SEA,"Jared Walsh, 1B/OF LAA",3,4,,,,,,6
SEA,"Eugenio Suarez, 3B SEA",1,2,,,,,,6
SEA,"Adolis Garcia, OF TEX",2,2,,,,,,6
SEA,"Frankie Montas, SP OAK",2,3,,,,,,6
SEA,"Raisel Iglesias, RP LAA",1,2,,,,,,6
SEA,"Ryan Pressly, RP HOU",1,2,,,,,,6
SEA,"Lou Trivino, RP OAK",1,2,,,,,,6
CHC,"Marcus Semien, 2B TEX",1,14.29,,,,,,7
CHC,"Anthony Rendon, 3B LAA",1,8.99,,,,,,7
CHC,"Jared Walsh, 1B/OF LAA",1,3.99,,,,,,7
CHC,"Michael Brantley, OF HOU",1,3.99,,,,,,7
CHC,"Robbie Ray, SP SEA",1,10.99,,,,,,7
CHC,"Frankie Montas, SP OAK",1,7.99,,,,,,7
CHC,"Raisel Iglesias, RP LAA",1,8.99,,,,,,7
CHC,"Ryan Pressly, RP HOU",1,8.49,,,,,,7
CHC,"Hector Neris, RP HOU",1,1.99,,,,,,7
NYM,"Marcus Semien, 2B TEX",3,10.6,8.8,10.6,12.4,,,8
NYM,"Anthony Rendon, 3B LAA",2,6.01,5.01,7.01,,,,8
NYM,"Jared Walsh, 1B/OF LAA",1,3.5,,,,,,8
NYM,"Yuli Gurriel, 1B HOU",1,0.55,,,,,,8
NYM,"Adolis Garcia, OF TEX",3,1.5,,,,,,8
NYM,"Michael Brantley, OF HOU",1,0.55,,,,,,8
NYM,"Max Stassi, C LAA",1,0.55,,,,,,8
NYM,"Luis Torrens, C SEA",1,0.55,,,,,,8
NYM,"Robbie Ray, SP SEA",2,7.05,6.1,8,,,,8
NYM,"Frankie Montas, SP OAK",2,7.05,6.1,8,,,,8
