Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,,Min,Max,MinRange,MaxRange,IsValid
TB,"Francisco Lindor, SS NYM",3,9,,,,,,1,,,,,,
TB,"Trea Turner, SS PHI",1,7.25,,,,,,1,,,,,,
TB,"Otto Lopez, 2B/SS MIA",3,4.3,,,,,,1,,,,,,
TB,"Christopher Morel, OF MIA",1,0.49,,,,,,1,,,,,,
TB,"Pete Fairbanks, RP MIA",1,2.41,,,,,,1,,,,,,
TB,"Robert Suarez, RP ATL",3,3.6,,,,,,1,,,,,,
TB,"Jose Alvarado, RP PHI",1,1.87,,,,,,1,,,,,,
TB,"Brad Keller, RP PHI",1,1.11,,,,,,1,,,,,,
TB,"Tobias Myers, RP NYM",2,0.43,,,,,,1,,,,,,
TB,"Bryce Elder, SP ATL",1,0.78,,,,,,1,,,,,,
TB,"Clay Holmes, SP NYM",1,1.45,,,,,,1,,,,,,
TB,"Chris Paddack, SP MIA",1,0.57,,,,,,1,,,,,,
TB,"Chris Sale, SP ATL",2,5.3,,,,,,1,,,,,,
TB,"Aaron Nola, SP PHI",1,3.14,,,,,,1,,,,,,
LAD,"Matt Olson, 1B ATL",1,9.3,,,,,,2,,,,,,
LAD,"Jorge Polanco, 2B NYM",2,2.5,,,,,,2,,,,,,
LAD,"Bryce Harper, 1B PHI",1,9.3,,,,,,2,,,,,,
LAD,"Ozzie Albies, 2B ATL",2,2.5,,,,,,2,,,,,,
LAD,"Marcus Semien, 2B NYM",1,1.4,,,,,,2,,,,,,
LAD,"Francisco Lindor, SS NYM",1,9.3,,,,,,2,,,,,,
LAD,"Trea Turner, SS PHI",1,7.2,,,,,,2,,,,,,
LAD,"Austin Riley, 3B ATL",3,4.1,,,,,,2,,,,,,
LAD,"Chris Sale, SP ATL",2,8.1,,,,,,2,,,,,,
LAD,"Kodai Senga, SP NYM",3,3.2,,,,,,2,,,,,,
LAD,"Clay Holmes, SP NYM",3,3.2,,,,,,2,,,,,,
LAD,"Foster Griffin, SP WAS",5,0.4,,,,,,2,,,,,,
LAD,"Robert Suarez, RP ATL",1,3.6,,,,,,2,,,,,,
LAD,"Pete Fairbanks, RP MIA",1,5.6,,,,,,2,,,,,,
BOS,"Trea Turner, SS PHI",3,5,,,,,,3,,,,,,
BOS,"Francisco Lindor, SS NYM",3,5,,,,,,3,,,,,,
BOS,"Bryce Harper, 1B PHI",3,5,,,,,,3,,,,,,
BOS,"Austin Riley, 3B ATL",4,4.27,,,,,,3,,,,,,
