Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,,Min,Max,MinRange,MaxRange,IsValid
TB,"Fernando Tatis, Jr, OF SD",5,19.2,,,,,,1,,,,,,
TB,"Luis Matos, OF SF",3,0.5,,,,,,1,,,,,,
TB,"Tyler Freeman, 2B/OF, COL",2,0.41,,,,,,1,,,,,,
TB,"Jake McCarthy, OF COL",1,0.4,,,,,,1,,,,,,
TB,"Tanner Scott, RP LAD",1,0.45,,,,,,1,,,,,,
TB,"Paul Sewald, RP ARZ",1,0.68,,,,,,1,,,,,,
TB,"Erik Miller, RP SF",3,0.46,,,,,,1,,,,,,
TB,"Randy Vasquez, SP SD",4,0.9,,,,,,1,,,,,,
MIL,"Fernando Tatis, Jr, OF SD",3,10.5,,,,,,2,,,,,,
MIL,"Nolan Arenado, 3B ARZ",2,1.75,,,,,,2,,,,,,
MIL,"Yu Darvish, SP SD",1,1,,,,,,2,,,,,,
NYY,"Drey Jameson, RP ARZ",3,0.52,,,,,,3,,,,,,
NYY,"Juan Mejia, RP COL",2,0.52,,,,,,3,,,,,,
NYY,"Eduardo Rodriguez, SP ARZ",1,1.75,,,,,,3,,,,,,
NYY,"Adrian Houser, SP SF",1,1.65,,,,,,3,,,,,,
NYY,"Griffin Canning, SP SD",2,0.89,,,,,,3,,,,,,
NYY,"Xander Bogaerts, SS SD",1,3,,,,,,3,,,,,,
NYY,"Ketel Marte, 2B ARZ",1,9,,,,,,3,,,,,,
NYY,"Willi Castro, 2B/3B/OF COL",1,0.95,,,,,,3,,,,,,
NYY,"Matt Chapman, 3B SF",1,4,,,,,,3,,,,,,
NYY,"Jason Adam, RP SD",1,1,,,,,,3,,,,,,
NYY,"Adrian Morejon, RP SD",1,1,,,,,,3,,,,,,
NYY,"Alex Vesia, RP LAD",1,1.15,,,,,,3,,,,,,
ARZ,"Kyle Tucker, OF LAD",3,13,,,,,,4,,,,,,
ARZ,"Fernando Tatis, Jr, OF SD",3,13,,,,,,4,,,,,,
ARZ,"Teoscar Hernandez, OF LAD",2,2.5,,,,,,4,,,,,,
