Team,Player,Years,Avg,Year 1,Year 2,Year 3,Year 4,Year 5,Order,,Min,Max,MinRange,MaxRange,IsValid
NYY,"Aaron Civale, SP MIL - #370 (4th Round Pick) - Royals",3,2.5,,,,,,1,,,,,,
NYY,"Alec Bohm, 3B PHI - #89 (2nd Round Pick) - Phillies",3,6,,,,,,1,,,,,,
NYY,"Emmanuel Clase, RP CLE - #30 (1st Round Pick) - Dodgers",4,9,,,,,,1,,,,,,
NYY,"David Bednar, RP PIT - #469 (4th Round Pick) - Athletics",3,2.75,,,,,,1,,,,,,
BOS,"Emmanuel Clase, RP CLE - #30 (1st Round Pick) - Dodgers",3,6.31,,,,,,2,,,,,,
BOS,"Alec Bohm, 3B PHI - #89 (2nd Round Pick) - Phillies",3,4.17,,,,,,2,,,,,,
BOS,"Tyler O'Neill, OF BAL - #102 (2nd Round Pick) - Phillies",3,3.68,,,,,,2,,,,,,
BOS,"Cedric Mullins, OF BAL - #79 (2nd Round Pick) - Rays",3,2.78,,,,,,2,,,,,,
BOS,"David Bednar, RP PIT - #469 (4th Round Pick) - Athletics",3,3.12,,,,,,2,,,,,,
BOS,"Tony Gonsolin, SP LAD - #9999 (5th Round Pick) - Dodgers",3,3.78,,,,,,2,,,,,,
TB,"Emmanuel Clase, RP CLE - #30 (1st Round Pick) - Dodgers",4,9.25,7,8.4,10,11.6,,3,,7,11.6,7.4,11.1,FALSE
CLE,"David Bednar, RP PIT - #469 (4th Round Pick) - Athletics",3,2.45,,,,,,4,,,,,,
CLE,"Alec Bohm, 3B PHI - #89 (2nd Round Pick) - Phillies",3,5.16,,,,,,4,,,,,,
SD,"Alec Bohm, 3B PHI - #89 (2nd Round Pick) - Phillies",3,3.43,,,,,,5,,,,,,
SD,"Emmanuel Clase, RP CLE - #30 (1st Round Pick) - Dodgers",3,7.73,,,,,,5,,,,,,
PIT,"Tyler O'Neill, OF BAL - #102 (2nd Round Pick) - Phillies",3,2.76,,,,,,6,,,,,,
PIT,"Alec Bohm, 3B PHI - #89 (2nd Round Pick) - Phillies",4,2.76,,,,,,6,,,,,,
PIT,"Emmanuel Clase, RP CLE - #30 (1st Round Pick) - Dodgers",3,5.76,,,,,,6,,,,,,
PIT,"Aaron Civale, SP MIL - #370 (4th Round Pick) - Royals",3,1.26,,,,,,6,,,,,,
OAK,"Tyler O'Neill, OF BAL - #102 (2nd Round Pick) - Phillies",3,3.5,,,,,,7,,,,,,
OAK,"Alec Bohm, 3B PHI - #89 (2nd Round Pick) - Phillies",3,5,6,4,5,,,7,,4,6,4,6,TRUE
OAK,"Cedric Mullins, OF BAL - #79 (2nd Round Pick) - Rays",3,2,,,,,,7,,,,,,
OAK,"Tony Gonsolin, SP LAD - #9999 (5th Round Pick) - Dodgers",3,1,,,,,,7,,,,,,
OAK,"Emmanuel Clase, RP CLE - #30 (1st Round Pick) - Dodgers",5,5,4,4,5,6,6,7,,4,6,4,6,TRUE
OAK,"Jonathan India, 2B KC - #127 (2nd Round Pick) - Diamondbacks",3,2.5,2,2.5,3,,,7,,2,3,2,3,TRUE
OAK,"Aaron Civale, SP MIL - #370 (4th Round Pick) - Royals",3,0.75,,,,,,7,,,,,,
OAK,"Daulton Varsho, OF TOR - #187 (3rd Round Pick) - Pirates",3,1.25,,,,,,7,,,,,,
TOR,"Sixto Sanchez, SP MIA - #1424 (5th Round Pick) - Phillies",5,2.1,,,,,,8,,,,,,
TOR,"Alec Bohm, 3B PHI - #89 (2nd Round Pick) - Phillies",3,5.3,,,,,,8,,,,,,
TOR,"Tony Gonsolin, SP LAD - #9999 (5th Round Pick) - Dodgers",3,2.2,,,,,,8,,,,,,
TOR,"Emmanuel Clase, RP CLE - #30 (1st Round Pick) - Dodgers",5,4.9,,,,,,8,,,,,,
ATL,"Aaron Civale, SP MIL - #370 (4th Round Pick) - Royals",3,2.05,,,,,,9,,,,,,
ATL,"David Bednar, RP PIT - #469 (4th Round Pick) - Athletics",3,3.5,,,,,,9,,,,,,
ARZ,"Alec Bohm, 3B PHI - #89 (2nd Round Pick) - Phillies",3,4.65,,,,,,10,,,,,,
ARZ,"Tony Gonsolin, SP LAD - #9999 (5th Round Pick) - Dodgers",4,1.25,,,,,,10,,,,,,
ARZ,"Emmanuel Clase, RP CLE - #30 (1st Round Pick) - Dodgers",3,8,,,,,,10,,,,,,
ARZ,"Aaron Civale, SP MIL - #370 (4th Round Pick) - Royals",3,2.1,,,,,,10,,,,,,
ARZ,"David Bednar, RP PIT - #469 (4th Round Pick) - Athletics",3,1.9,,,,,,10,,,,,,
WAS,"Alec Bohm, 3B PHI - #89 (2nd Round Pick) - Phillies",3,3.33,3,3.5,3.49,,,11,,3,3.5,2.664,3.996,TRUE
